,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
012901101,423363,,,50724.0,102983.0,,,,,,,,,,583.0,33982.0,7598.0,1908.0,
013901001,2554980,367054.0,,88573.0,404517.0,1025.0,,,,,,,,,231362.0,277509.0,,4109.0,
013901041,2111322,80851.0,93486.0,342749.0,366169.0,1721.0,,,,,,,,,28714.0,154402.0,,488.0,
013901101,1143340,,54079.0,114455.0,71246.0,3528.0,,,,,,,,,18668.0,68084.0,,1795.0,
013901102,1084619,,54111.0,221356.0,278382.0,3134.0,,,,,,,,,20530.0,68079.0,,300.0,
013901104,1217370,,54079.0,182088.0,130876.0,6752.0,,,,,,,,,25279.0,101450.0,,22.0,
013901105,856215,,,200678.0,112953.0,4937.0,,,,,,,,,29846.0,60976.0,,261.0,
013901999,69974,,,189655.0,240168.0,,1212967.0,28148.0,,,,,,1305000.0,674044.0,209624.0,94080.0,11313.0,
013902101,486624,5837.0,3001.0,,45041.0,,,,,,,,,,25760.0,9812.0,3168.0,1429.0,
013903001,671235,58969.0,8000.0,,95718.0,,,,,,,,,,14206.0,,,700.0,
013903101,577398,160.0,,,54985.0,,,,,,,,,,,,,3320.0,
013905001,526138,108687.0,,49139.0,161433.0,,,,,,,,,,,,,2986.0,
013905041,601160,63122.0,,20495.0,114521.0,,,,,,,,,,2500.0,,,567.0,
013905101,974992,,14666.0,110428.0,122734.0,12431.0,,,,,,,,,,,,518.0,
014901001,1020061,62914.0,9310.0,66664.0,169492.0,629.0,,,,,,,,,27661.0,,,,
014901041,1134198,23823.0,8456.0,53737.0,144685.0,545.0,,,,,,,,,36044.0,,,,
014901101,942991,,8087.0,129935.0,117562.0,104257.0,,,,,,,,,33236.0,,,,
014901999,2796,67052.0,,160030.0,29897.0,,254870.0,,,,,,,180000.0,32958.0,407106.0,,,
014902001,1136521,67351.0,8193.0,5843.0,36739.0,11279.0,,,,,,,,,48746.0,,,1315.0,
014903001,5462282,943557.0,560509.0,201913.0,1198167.0,16803.0,,,,,,,,,55350.0,,,31094.0,
014903005,495235,,,18598.0,70168.0,,,,,,,,,,1018.0,,,2300.0,
014903042,2549039,100200.0,311891.0,407188.0,675666.0,38750.0,,,,,,,,,41140.0,,,9893.0,
014903043,2180068,103149.0,491814.0,353618.0,457580.0,42021.0,,,,,,,,,37434.0,,,276.0,
014903102,884589,,,161505.0,61205.0,,,,,,,,,,3133.0,,,2480.0,
014903103,1203691,,,179665.0,290225.0,,,,,,,,,,18289.0,,,1215.0,
014903104,1382382,,,242540.0,79773.0,122211.0,,,,,,,,,22762.0,,,7966.0,
014903108,1923468,,,187757.0,178584.0,,,,,,,,,,6875.0,,,1166.0,
014903109,1805921,,,206937.0,341527.0,,,,,,,,,,6753.0,,,1252.0,
014903111,1884937,,,146654.0,207837.0,57508.0,,,,,,,,,7662.0,,,1182.0,
014903114,1355941,,,188133.0,385951.0,60894.0,,,,,,,,,26515.0,,,1450.0,
014903116,1268872,,,132525.0,157924.0,,,,,,,,,,4910.0,,,1127.0,
014903699,141515,,,,4440.0,13038.0,,,,,,,,,,,,48973.0,
014903999,135849,33108.0,,131067.0,376408.0,32303.0,3233424.0,,,,,,,4337027.0,837399.0,2661061.0,130056.0,355534.0,145614.0
014905001,515630,40280.0,2403.0,51086.0,11140.0,,,,,,,,,,23211.0,,,1943.0,
014905041,387508,39871.0,2382.0,71372.0,29593.0,,,,,,,,,,5862.0,,,3381.0,
014905101,806909,,2176.0,122485.0,86507.0,5506.0,,,,,,,,,38548.0,,,4857.0,
014905699,1500,,,27236.0,1499.0,,,,,,,,,,2845.0,,,,
014906001,5889059,451827.0,202405.0,132659.0,1703743.0,62221.0,,,,,,,,,146069.0,422495.0,,,
014906002,7322856,434753.0,143669.0,178885.0,1435711.0,56617.0,,,,,,,,,59023.0,470696.0,,,
014906003,17834,,,,,,,,,,,,,,81228.0,133991.0,,,
