,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
015907203,49076,38116,1774
015907210,6827,4860,108
015907240,.,.,.
015907241,.,.,.
015907242,.,.,.
015907244,.,.,.
015908001,6652,4374,56
015908037,.,.,.
015908038,.,.,.
015908039,21648,14135,211
015908041,9045,5786,82
015908042,9106,5860,94
015908043,9560,6029,115
015908044,7648,4847,63
015908045,.,.,.
015908101,8833,6270,95
015908104,6689,4606,71
015908105,7342,5012,77
015908106,6167,4305,65
015908107,7673,5148,76
015908108,6407,4433,68
015908109,7985,5432,68
015908110,7094,4834,69
015908112,6992,4717,81
015908113,6346,4368,65
015909001,7124,4791,154
015909041,5661,3815,108
015909101,5916,4043,91
015909103,6354,4435,113
015909104,5332,3948,85
015909105,5132,3523,72
015910001,8545,5855,166
015910002,7376,5115,109
015910003,6430,4498,107
015910004,7517,5179,139
015910005,6797,4805,130
015910007,7286,4815,112
015910008,13754,8277,62
015910009,5873,4258,26
015910012,28369,17300,658
015910014,7619,5034,105
015910022,595,501,0
015910041,7277,5099,143
015910042,9001,6347,188
015910043,7745,5412,107
015910044,8756,6285,197
015910045,7773,5127,158
015910046,8081,5544,135
015910047,7390,4987,164
015910048,6366,4443,100
015910049,6910,4703,146
015910050,6298,4311,106
015910053,38706,23463,1041
015910054,.,.,.
015910056,5904,4233,92
015910057,6290,4224,124
015910058,6149,4264,108
015910070,126615,110398,217
015910101,7133,4890,55
015910102,6718,4933,52
015910103,7433,5485,52
015910104,8701,6071,73
015910105,8498,6170,77
015910106,7304,5449,93
015910107,7334,5306,54
015910108,6805,4964,64
015910109,8654,6028,113
015910110,9068,5985,81
015910111,7207,5181,52
015910112,8268,5803,86
015910113,8601,5819,66
015910114,8141,5805,61
015910115,8321,5332,48
015910116,10685,7416,103
015910117,6768,4933,58
015910118,6960,4761,56
015910119,8133,5565,64
015910120,8115,5756,53
015910121,7025,5150,47
015910122,7775,5408,69
015910123,6692,4845,54
015910124,6350,4626,53
015910125,6064,4425,58
015910126,6209,4556,47
015910127,6711,4896,66
015910128,8045,5854,114
015910129,6064,4448,69
015910130,6456,4750,60
015910131,10221,7671,97
015910132,17698,14504,0
015910133,6899,5096,69
015910134,6775,4984,70
015910135,6235,4605,54
015910136,6255,4696,66
015910137,6296,4578,51
015910138,6510,4501,56
015910139,5212,3920,40
015910140,5563,4192,50
015910141,6451,4650,75
015910142,6099,4547,51
015910143,5484,4057,42
015910160,.,.,.
015911001,7146,4610,125
015911003,.,.,.
015911004,2921,2921,0
015911005,10654,8485,217
015911006,.,.,.
015911041,6096,4189,183
015911042,6225,4257,145
015911043,6479,4273,121
015911044,5882,3928,101
015911101,6932,4723,200
015911102,6974,4743,170
015911103,8041,5427,174
015911104,6478,4464,166
015911105,9544,6599,398
015911106,6745,4597,193
015912001,6822,4547,149
015912003,.,.,.
015912041,7353,5124,84
015912042,7339,5121,140
015912044,7538,5049,143
015912101,5844,4281,108
015912102,5765,4125,101
015912103,6083,4288,92
015912104,6032,4423,112
015912105,6243,4577,103
015912106,6204,4436,110
015912107,6259,4503,109
015912108,5825,4217,110
015912109,6000,4154,99
015913001,12536,8614,0
015913101,8012,6177,0
015914001,8530,5951,153
015914101,7104,5506,103
015915001,7365,5008,146
015915002,6272,4434,127
015915003,6597,4680,146
015915004,38541,28634,2295
015915005,6384,4443,139
015915006,6973,4572,92
015915007,6156,4208,125
015915008,16830,11052,408
015915011,15624,10647,257
015915013,40529,30336,2699
015915016,6191,4262,112
015915019,5720,3984,125
015915022,6223,4220,142
015915023,7897,5009,155
015915035,.,.,.
015915039,.,.,.
015915041,6498,4481,122
015915042,6776,4594,124
015915043,7410,4987,134
015915044,7437,5180,139
015915045,6928,4637,163
015915046,6921,4795,136
015915047,6302,4485,151
015915048,6155,4217,131
015915049,7094,4923,147
015915050,5762,4039,110
015915051,6337,4207,143
015915052,6778,4427,151
015915053,5680,3869,127
015915054,6057,4009,139
015915055,5413,3693,110
015915056,5787,3747,119
015915057,.,.,.
015915061,33753,21062,618
015915062,65607,44761,1293
015915101,7886,5611,136
015915102,7837,5613,180
015915103,6897,4962,112
015915104,6639,4483,126
015915105,8303,5846,175
015915106,7807,5415,145
015915107,6194,4377,127
015915108,8868,6504,256
015915109,7061,5072,176
015915111,7224,5003,140
015915112,7085,4957,138
015915113,7947,5284,176
015915114,8152,5731,167
015915115,7269,5030,209
015915116,7089,5090,140
015915117,7225,4995,145
015915118,7957,5698,207
015915119,7104,5101,122
015915122,8653,6106,157
015915123,6739,4667,93
015915124,6809,4893,122
015915125,7196,5079,160
015915128,7182,4976,145
015915130,6163,4294,117
015915131,7291,5169,122
015915132,7305,5306,143
015915133,133009,129893,0
015915134,8000,5769,173
015915135,7459,5354,168
015915136,7218,5066,187
015915138,6904,4937,158
015915141,6028,4393,1
015915143,7380,5202,185
015915144,6050,4326,138
015915145,6673,4492,139
015915148,6337,4467,170
015915149,7024,4774,151
015915150,7265,5249,157
015915151,6796,4662,155
015915152,7511,4782,353
015915156,7402,5225,208
015915157,7823,5347,173
015915158,6878,4811,148
015915160,6803,4677,146
015915161,6363,4326,129
015915162,6821,4766,123
015915165,6282,4262,153
015915166,7167,5072,122
015915167,6589,4632,164
015915168,6065,4283,123
015915169,6819,4832,143
015915170,6241,4329,151
015915171,6872,4709,150
015915177,7287,5031,179
015915178,6602,4641,161
015915179,6767,4507,167
015915180,5303,3851,117
015915181,7262,4937,179
015915182,5065,3645,112
015915183,5253,3799,120
015915184,6073,4194,110
015915185,6938,4971,136
015915186,5028,3604,111
015915187,.,.,.
015915188,.,.,.
015915191,.,.,.
015915201,1121,7,523
015915202,3172,2383,134
015915250,12893,10958,590
015916001,6509,4601,115
015916003,9892,6381,125
015916004,14343,11969,155
015916005,20412,14373,245
015916006,.,.,.
015916008,6253,4633,111
015916009,.,.,.
015916030,.,.,.
015916041,7599,5644,121
015916042,5687,4297,94
015916043,5876,4346,114
015916044,5835,4378,117
015916101,5996,4581,89
015916102,6555,5273,80
015916103,6284,4775,106
015916104,7453,5686,105
015916105,6253,4853,71
015916106,6941,5470,104
015916107,5219,4242,61
015916109,5052,3950,65
015916110,6223,4865,107
015916111,7082,5602,103
015916112,6394,5136,107
015916113,5880,4720,88
015916114,6049,4864,84
015916115,6145,4905,102
015916116,5348,4210,88
015916117,.,.,.
015917001,7155,5243,81
015917002,17626,10368,172
015917041,6709,5073,97
015917102,5975,4196,72
015917103,6110,4730,75
015917104,6098,4670,93
015917105,6204,4635,75
015917106,6534,4930,65
016901001,9403,7423,118
016901041,5748,4622,49
016901101,6414,5522,106
016902001,8872,7063,151
016902041,7626,6232,150
016902101,7019,6147,114
017901001,16856,8220,29
018901001,8288,5426,112
018901041,6736,5358,120
018901101,6319,5142,124
018902001,8596,5941,0
018902101,5873,4445,0
018903001,13023,8027,0
018904001,10990,5664,0
018904041,3636,3183,0
018904101,5227,3600,0
018905003,8922,6021,0
018906001,9895,6620,288
018907001,9935,6160,0
018908001,12926,9073,0
019901001,8014,5955,0
019901002,.,.,.
019901041,7194,5861,0
019901102,6200,5346,0
019902002,9146,5395,39
019902041,8241,5609,46
019902102,6978,5126,43
019903001,7148,5370,0
019903002,.,.,.
019905001,8454,5888,31
019905002,.,.,.
019905041,7687,5891,34
019905101,5951,4945,22
019905103,.,.,.
019906001,10547,5869,25
019906041,8232,5137,48
019906101,6842,5177,28
019906102,7101,4800,36
019907002,7332,4931,10
019907003,4678,4079,0
019907042,6316,4728,18
019907105,5704,3992,12
019907107,7562,5584,12
019907108,7519,5432,38
019907109,5367,3839,7
019907111,5313,3782,10
019907113,5389,3960,11
019907115,8017,5580,17
