,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
015905105,-1,-1,-1,.,.,.
015905106,-1,-1,-1,.,.,.
015905107,-1,-1,-1,.,.,.
015905108,-1,-1,-1,.,.,.
015905109,-1,-1,-1,.,.,.
015905112,-1,-1,-1,.,.,.
015905114,-1,-1,-1,.,.,.
015905115,-1,-1,-1,.,.,.
015905116,-1,-1,-1,.,.,.
015905117,-1,-1,-1,.,.,.
015906001,92,92,97,1046,22.3,87.3
015906041,-1,-1,-1,.,.,.
015906101,-1,-1,-1,.,.,.
015907001,31,32,75,870,17.9,61.1
015907002,37,39,77,804,16.6,68.2
015907003,36,36,79,822,16.7,65.1
015907004,30,32,69,805,17.3,58.9
015907005,33,36,73,822,17.2,61.5
015907006,18,16,57,733,15.6,71.5
015907007,35,37,78,836,17.7,66.4
015907008,33,35,67,781,16.1,72.5
015907010,.,.,.,.,.,.
015907011,-1,-1,-1,.,.,.
015907014,25,13,55,818,-1,21.1
015907019,-1,-1,-1,.,.,.
015907020,.,.,.,.,.,.
015907041,-1,-1,-1,.,.,.
015907042,-1,-1,-1,.,.,.
015907043,-1,-1,-1,.,.,.
015907046,-1,-1,-1,.,.,.
015907047,-1,-1,-1,.,.,.
015907049,-1,-1,-1,.,.,.
015907050,-1,-1,-1,.,.,.
015907051,-1,-1,-1,.,.,.
015907052,-1,-1,-1,.,.,.
015907053,-1,-1,-1,.,.,.
015907054,-1,-1,-1,.,.,.
015907055,-1,-1,-1,.,.,.
015907057,-1,-1,-1,.,.,.
015907058,-1,-1,-1,.,.,.
015907059,-1,-1,-1,.,.,.
015907061,-1,-1,-1,.,.,.
015907063,.,.,.,.,.,.
015907064,-1,-1,-1,.,.,.
015907101,-1,-1,-1,.,.,.
015907102,-1,-1,-1,.,.,.
015907103,-1,-1,-1,.,.,.
015907105,-1,-1,-1,.,.,.
015907106,-1,-1,-1,.,.,.
015907107,-1,-1,-1,.,.,.
015907108,-1,-1,-1,.,.,.
015907109,-1,-1,-1,.,.,.
015907110,-1,-1,-1,.,.,.
015907111,-1,-1,-1,.,.,.
015907112,-1,-1,-1,.,.,.
015907114,-1,-1,-1,.,.,.
015907115,-1,-1,-1,.,.,.
015907116,-1,-1,-1,.,.,.
015907117,-1,-1,-1,.,.,.
015907118,-1,-1,-1,.,.,.
015907119,-1,-1,-1,.,.,.
015907121,-1,-1,-1,.,.,.
015907123,-1,-1,-1,.,.,.
015907124,-1,-1,-1,.,.,.
015907125,-1,-1,-1,.,.,.
015907126,-1,-1,-1,.,.,.
015907127,-1,-1,-1,.,.,.
015907129,-1,-1,-1,.,.,.
015907131,-1,-1,-1,.,.,.
015907132,-1,-1,-1,.,.,.
015907134,-1,-1,-1,.,.,.
015907135,-1,-1,-1,.,.,.
015907136,-1,-1,-1,.,.,.
015907137,-1,-1,-1,.,.,.
015907139,-1,-1,-1,.,.,.
015907140,-1,-1,-1,.,.,.
015907141,-1,-1,-1,.,.,.
015907142,-1,-1,-1,.,.,.
015907143,-1,-1,-1,.,.,.
015907144,-1,-1,-1,.,.,.
015907145,-1,-1,-1,.,.,.
015907146,-1,-1,-1,.,.,.
015907147,-1,-1,-1,.,.,.
015907148,-1,-1,-1,.,.,.
015907149,-1,-1,-1,.,.,.
015907150,-1,-1,-1,.,.,.
015907153,-1,-1,-1,.,.,.
015907155,-1,-1,-1,.,.,.
015907156,-1,-1,-1,.,.,.
015907157,-1,-1,-1,.,.,.
015907158,-1,-1,-1,.,.,.
015907159,-1,-1,-1,.,.,.
015907160,-1,-1,-1,.,.,.
015907161,-1,-1,-1,.,.,.
015907162,-1,-1,-1,.,.,.
015907164,-1,-1,-1,.,.,.
015907165,-1,-1,-1,.,.,.
015907167,-1,-1,-1,.,.,.
015907168,-1,-1,-1,.,.,.
015907169,-1,-1,-1,.,.,.
015907170,-1,-1,-1,.,.,.
015907171,-1,-1,-1,.,.,.
015907172,-1,-1,-1,.,.,.
015907173,-1,-1,-1,.,.,.
015907174,-1,-1,-1,.,.,.
015907175,-1,-1,-1,.,.,.
015907176,-1,-1,-1,.,.,.
015907179,-1,-1,-1,.,.,.
015907180,.,.,.,.,.,.
015907182,22,17,46,.,.,0
015907184,-1,-1,-1,.,.,.
015907186,-1,-1,-1,.,.,.
015907191,-1,-1,-1,.,.,.
015907194,-1,-1,-1,.,.,.
015907195,-1,-1,-1,.,.,.
015907201,-1,-1,-1,.,.,.
015907202,.,.,.,.,.,.
015907203,-1,-1,-1,.,.,.
015908001,33,35,72,807,17.8,51.9
015908002,31,32,84,803,19.8,52.3
015908037,.,.,.,.,.,.
015908038,-1,-1,-1,.,.,0
015908039,.,.,.,.,.,.
015908041,-1,-1,-1,.,.,.
015908042,-1,-1,-1,.,.,.
015908043,-1,-1,-1,.,.,.
015908101,-1,-1,-1,.,.,.
015908104,-1,-1,-1,.,.,.
015908105,-1,-1,-1,.,.,.
015908106,-1,-1,-1,.,.,.
015908107,-1,-1,-1,.,.,.
015908108,-1,-1,-1,.,.,.
015908109,-1,-1,-1,.,.,.
015908110,-1,-1,-1,.,.,.
015908112,-1,-1,-1,.,.,.
015908113,-1,-1,-1,.,.,.
015909001,37,37,79,893,19,37.7
015909002,.,.,.,.,.,.
015909003,.,.,.,.,.,.
015909041,-1,-1,-1,.,.,.
015909101,-1,-1,-1,.,.,.
015909103,-1,-1,-1,.,.,.
015909104,-1,-1,-1,.,.,.
015910001,52,53,84,888,18.5,49.2
