,gr3_ela_avg,gr4_ela_avg,gr4_writ_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
071902166,89,86,92,89,76,071902166,071902
071902169,54,58,61,77,50,071902169,071902
071902174,86,83,72,97,84,071902174,071902
071902175,69,89,81,95,67,071902175,071902
071905113,86,80,78,93,60,071905113,071905
071905129,93,87,86,97,91,071905129,071905
071905131,83,75,79,91,90,071905131,071905
071907103,87,84,76,96,77,071907103,071907
071909103,91,76,83,95,64,071909103,071909
071909105,84,79,81,95,84,071909105,071909
071909109,84,78,75,95,81,071909109,071909
071909113,84,74,76,95,87,071909113,071909
071909114,84,84,85,89,72,071909114,071909
071909119,84,90,93,93,83,071909119,071909
071909121,91,89,94,97,88,071909121,071909
075903102,69,66,61,88,63,075903102,075903
079901107,77,56,44,88,62,079901107,079901
079901112,79,66,67,90,76,079901112,079901
079901114,98,96,99,99,92,079901114,079901
079901116,65,58,63,85,61,079901116,079901
079901118,91,75,69,81,73,079901118,079901
079901119,92,97,91,99,95,079901119,079901
079901122,84,80,69,92,77,079901122,079901
079901123,90,92,88,97,94,079901123,079901
079901125,77,65,57,84,69,079901125,079901
079901126,93,87,89,98,88,079901126,079901
079901127,93,84,80,97,94,079901127,079901
079907108,71,75,64,79,83,079907108,079907
079907109,50,47,35,52,35,079907109,079907
079907118,68,69,62,85,69,079907118,079907
079907120,97,96,94,93,84,079907120,079907
079907121,82,61,64,90,76,079907121,079907
079907122,72,65,69,74,38,079907122,079907
079907123,94,86,92,96,90,079907123,079907
079907124,71,72,69,86,62,079907124,079907
079907125,86,86,76,89,73,079907125,079907
079907127,85,77,70,93,77,079907127,079907
079907128,90,94,97,98,95,079907128,079907
079907133,82,77,78,93,62,079907133,079907
079907139,70,58,49,87,57,079907139,079907
079907142,97,97,96,98,92,079907142,079907
079907144,73,58,43,78,67,079907144,079907
079907145,90,92,86,95,75,079907145,079907
079907146,82,72,66,91,78,079907146,079907
079907150,77,77,78,81,48,079907150,079907
084910101,82,92,88,96,84,084910101,084910
084910103,74,76,69,90,68,084910103,084910
084910104,89,80,62,93,77,084910104,084910
084910105,88,83,83,97,94,084910105,084910
084910106,80,88,85,98,82,084910106,084910
084910107,77,74,69,79,64,084910107,084910
084910108,87,83,73,86,69,084910108,084910
084910110,80,77,68,95,84,084910110,084910
084910111,84,84,69,94,76,084910111,084910
084910115,90,89,86,94,81,084910115,084910
084910118,84,85,84,93,85,084910118,084910
084910119,87,82,69,94,75,084910119,084910
084910121,89,86,81,96,83,084910121,084910
084910122,92,90,83,93,81,084910122,084910
084910123,92,92,91,97,92,084910123,084910
084910124,87,89,80,96,89,084910124,084910
084910125,92,90,90,94,83,084910125,084910
086902101,66,79,64,85,70,086902101,086902
090904105,72,49,45,72,51,090904105,090904
091910101,88,85,89,92,84,091910101,091910
092903122,80,59,45,83,68,092903122,092903
092903123,84,58,62,88,76,092903123,092903
092903124,75,64,59,82,51,092903124,092903
095901101,78,87,62,83,73,095901101,095901
095905108,75,67,59,84,67,095905108,095905
097902102,88,89,93,91,81,097902102,097902
098904101,85,67,61,84,57,098904101,098904
100905102,87,82,72,100,98,100905102,100905
100908101,69,67,58,86,56,100908101,100908
101903101,58,59,55,96,89,101903101,101903
101903108,73,78,71,91,80,101903108,101903
101907103,82,88,85,91,79,101907103,101907
101907105,85,84,75,92,82,101907105,101907
101907106,86,67,60,92,72,101907106,101907
101907107,85,89,83,98,88,101907107,101907
101907108,68,73,70,80,70,101907108,101907
101907109,77,81,78,92,81,101907109,101907
101907112,62,59,48,76,53,101907112,101907
101907113,75,66,54,84,76,101907113,101907
101907116,87,86,85,95,88,101907116,101907
101907117,76,71,64,77,74,101907117,101907
101907118,81,85,83,91,83,101907118,101907
101907119,71,79,78,90,80,101907119,101907
101907120,64,67,63,88,77,101907120,101907
101907121,69,83,73,92,83,101907121,101907
101907122,79,79,80,94,88,101907122,101907
101907124,76,81,68,95,85,101907124,101907
101907125,76,76,77,90,80,101907125,101907
101907126,95,97,90,99,98,101907126,101907
101907127,62,67,55,85,86,101907127,101907
101907128,82,91,91,97,94,101907128,101907
101907129,80,71,66,84,76,101907129,101907
101907130,90,89,84,98,95,101907130,101907
101907131,77,77,71,90,67,101907131,101907
101907133,88,85,81,96,94,101907133,101907
101907134,81,65,56,90,85,101907134,101907
101907135,81,88,81,97,87,101907135,101907
101907137,75,71,57,86,73,101907137,101907
101907138,97,98,98,100,98,101907138,101907
101907139,95,89,90,96,91,101907139,101907
101907140,95,89,85,97,95,101907140,101907
101907141,70,65,67,83,69,101907141,101907
101907144,89,81,77,90,88,101907144,101907
101907145,77,86,82,94,88,101907145,101907
101907146,90,72,66,89,82,101907146,101907
101907147,84,90,83,92,86,101907147,101907
101907150,71,79,78,89,75,101907150,101907
101907152,80,74,78,91,76,101907152,101907
101907153,94,97,91,98,97,101907153,101907
101907154,82,79,78,86,63,101907154,101907
101910102,87,53,47,85,77,101910102,101910
101910104,64,69,67,81,76,101910104,101910
101910105,81,77,88,91,91,101910105,101910
101910106,83,74,82,95,88,101910106,101910
101910109,76,91,88,95,91,101910109,101910
101910113,87,76,73,93,81,101910113,101910
101910115,80,74,75,89,77,101910115,101910
101911102,86,72,75,95,76,101911102,101911
101911103,73,73,61,88,85,101911103,101911
101911105,71,58,57,94,74,101911105,101911
101911107,61,58,63,68,45,101911107,101911
101911112,74,61,66,94,92,101911112,101911
101911113,62,61,65,82,62,101911113,101911
101911114,78,82,79,90,84,101911114,101911
101911118,86,88,77,91,89,101911118,101911
101911120,71,74,66,78,67,101911120,101911
101911123,88,87,87,91,83,101911123,101911
101912104,65,48,54,62,53,101912104,101912
101912106,79,66,74,63,42,101912106,101912
101912109,57,46,54,69,54,101912109,101912
101912111,62,38,37,72,50,101912111,101912
101912112,68,60,62,81,75,101912112,101912
101912114,59,55,68,70,76,101912114,101912
101912116,90,84,85,90,83,101912116,101912
101912117,77,61,66,88,71,101912117,101912
101912128,90,95,94,93,86,101912128,101912
101912136,74,58,59,75,65,101912136,101912
101912140,49,42,34,71,40,101912140,101912
101912149,76,59,57,89,76,101912149,101912
101912151,74,64,69,83,65,101912151,101912
101912152,99,79,88,98,81,101912152,101912
101912153,75,50,54,76,42,101912153,101912
101912169,89,91,87,96,85,101912169,101912
101912179,49,44,48,70,63,101912179,101912
101912181,73,70,78,79,64,101912181,101912
101912185,42,46,42,58,48,101912185,101912
101912187,72,41,61,83,51,101912187,101912
101912188,77,69,62,68,57,101912188,101912
101912189,89,91,85,91,85,101912189,101912
101912192,82,77,74,84,81,101912192,101912
101912198,72,69,62,91,66,101912198,101912
101912199,97,88,83,98,93,101912199,101912
101912203,41,42,38,74,35,101912203,101912
101912210,63,60,58,74,62,101912210,101912
101912213,82,74,82,88,73,101912213,101912
101912215,88,84,84,95,81,101912215,101912
101912217,63,69,63,77,62,101912217,101912
