,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
079907150,49,76,68,82,80,81,82,63,079907150,079907
082902101,45,58,49,44,46,59,77,56,082902101,082902
084910101,85,87,71,86,77,98,96,88,084910101,084910
084910103,56,67,62,79,73,95,87,76,084910103,084910
084910104,63,84,66,84,79,80,86,63,084910104,084910
084910105,77,86,73,88,86,99,99,91,084910105,084910
084910106,81,88,87,93,91,99,98,89,084910106,084910
084910108,67,87,55,71,59,95,90,74,084910108,084910
084910110,73,90,81,83,87,97,95,82,084910110,084910
084910111,70,78,67,74,75,97,97,84,084910111,084910
084910115,98,95,84,84,88,94,93,87,084910115,084910
084910118,77,83,76,78,78,97,94,88,084910118,084910
084910119,60,87,87,81,88,83,90,70,084910119,084910
084910121,79,91,89,91,89,96,97,90,084910121,084910
084910122,89,89,80,87,88,97,98,90,084910122,084910
084910123,83,92,91,95,96,99,99,87,084910123,084910
084910124,79,86,73,90,87,98,99,92,084910124,084910
084910125,88,94,79,82,78,98,98,97,084910125,084910
090904105,57,57,43,41,50,97,85,69,090904105,090904
090904107,60,76,73,78,72,87,95,69,090904107,090904
091903103,60,80,75,63,63,88,82,72,091903103,091903
091903104,75,83,85,93,91,91,100,91,091903104,091903
091910101,88,94,66,78,74,96,94,79,091910101,091910
092903122,64,62,63,73,61,87,88,80,092903122,092903
092903123,74,70,70,81,69,88,84,70,092903123,092903
092903124,68,66,73,56,56,87,85,52,092903124,092903
092903126,93,88,92,92,96,97,90,76,092903126,092903
092906102,78,91,74,80,83,90,87,59,092906102,092906
093904106,48,68,53,60,67,75,81,40,093904106,093904
095901101,92,72,89,77,64,74,78,62,095901101,095901
095905106,77,73,90,67,64,98,90,77,095905106,095905
095905108,77,62,79,76,75,92,90,83,095905108,095905
097902102,91,93,90,76,74,80,82,69,097902102,097902
100905102,86,91,79,83,72,96,98,87,100905102,100905
101903101,61,68,54,63,59,84,87,78,101903101,101903
101903108,71,78,80,82,68,96,93,88,101903108,101903
101907103,86,86,86,85,82,95,93,89,101907103,101907
101907105,83,82,84,82,74,97,94,87,101907105,101907
101907106,75,67,62,65,60,92,93,82,101907106,101907
101907107,82,84,89,85,86,96,97,89,101907107,101907
101907108,70,71,67,69,62,94,91,79,101907108,101907
101907109,87,80,81,83,86,98,94,82,101907109,101907
101907111,76,74,62,64,71,93,86,85,101907111,101907
101907112,57,55,52,51,50,82,74,66,101907112,101907
101907113,69,66,58,68,58,87,87,76,101907113,101907
101907116,84,92,83,89,84,99,99,96,101907116,101907
101907117,77,64,62,66,55,90,87,87,101907117,101907
101907118,91,86,83,84,78,99,95,87,101907118,101907
101907119,83,80,77,78,75,94,88,80,101907119,101907
101907120,71,71,72,66,58,97,91,84,101907120,101907
101907121,85,82,84,84,79,94,91,85,101907121,101907
101907122,84,74,98,77,75,100,92,90,101907122,101907
101907124,80,80,78,80,80,97,93,87,101907124,101907
101907125,83,77,73,80,80,97,93,90,101907125,101907
101907126,98,96,99,96,91,100,100,97,101907126,101907
101907127,61,56,72,74,64,93,88,72,101907127,101907
101907128,87,83,91,89,94,98,96,88,101907128,101907
101907129,76,74,73,74,71,89,82,67,101907129,101907
101907130,85,85,82,87,83,96,95,89,101907130,101907
101907131,69,75,70,73,64,86,90,75,101907131,101907
101907132,76,80,80,80,79,95,95,87,101907132,101907
101907133,85,87,88,89,84,97,93,93,101907133,101907
101907134,80,72,75,75,65,93,85,74,101907134,101907
101907135,86,84,91,88,84,94,92,87,101907135,101907
101907136,88,88,83,79,82,94,92,75,101907136,101907
101907137,78,75,66,70,61,99,96,88,101907137,101907
101907138,97,97,100,99,97,100,100,99,101907138,101907
101907139,95,91,97,93,90,100,99,93,101907139,101907
101907140,82,86,83,88,85,99,96,93,101907140,101907
101907141,75,71,81,76,76,96,87,80,101907141,101907
101907145,77,79,81,83,81,95,91,84,101907145,101907
101907146,82,81,69,73,61,97,92,86,101907146,101907
101907147,91,90,85,81,82,99,93,85,101907147,101907
101907150,72,77,69,76,66,93,87,76,101907150,101907
101907152,89,80,79,83,80,96,94,85,101907152,101907
101907153,96,95,89,89,87,100,98,97,101907153,101907
101907154,80,84,87,77,77,95,88,80,101907154,101907
101907155,97,94,88,89,86,97,95,92,101907155,101907
101907156,97,98,95,97,99,100,99,97,101907156,101907
101910101,61,72,75,72,74,89,79,67,101910101,101910
101910102,85,82,79,65,74,97,86,77,101910102,101910
101910104,62,70,74,64,67,97,84,77,101910104,101910
101910105,60,62,89,81,87,87,88,73,101910105,101910
101910106,78,75,68,82,88,93,86,78,101910106,101910
101910107,53,62,79,66,72,92,85,63,101910107,101910
101910108,77,81,76,66,64,95,85,79,101910108,101910
101910109,80,79,90,77,84,99,90,78,101910109,101910
101910112,79,74,82,76,76,92,84,80,101910112,101910
101910113,73,78,74,69,79,91,90,73,101910113,101910
101910114,64,73,77,77,81,90,85,58,101910114,101910
101910115,65,75,76,71,70,93,85,59,101910115,101910
101911103,68,67,69,68,63,87,85,82,101911103,101911
101911105,65,72,72,69,66,92,84,72,101911105,101911
101911107,63,74,59,67,64,74,76,66,101911107,101911
101911112,71,69,82,74,78,92,77,77,101911112,101911
101911113,70,67,62,52,56,79,75,72,101911113,101911
101911114,66,73,63,75,66,82,85,83,101911114,101911
101911118,76,83,74,76,80,95,94,81,101911118,101911
101911120,71,71,81,69,70,84,79,67,101911120,101911
101911122,76,77,61,65,61,90,82,81,101911122,101911
101912104,48,64,43,50,55,65,66,55,101912104,101912
101912106,28,43,37,47,81,61,49,34,101912106,101912
101912108,31,33,19,28,26,68,71,39,101912108,101912
101912109,82,68,80,64,62,85,74,46,101912109,101912
101912112,67,67,71,69,63,94,77,74,101912112,101912
101912114,58,60,68,57,60,94,64,59,101912114,101912
101912128,94,93,84,84,88,100,97,91,101912128,101912
101912136,66,71,69,53,53,91,73,71,101912136,101912
101912148,60,77,85,70,76,86,77,53,101912148,101912
101912149,68,66,67,70,67,89,82,68,101912149,101912
101912152,81,89,90,93,90,100,98,88,101912152,101912
101912153,55,61,50,64,60,69,67,46,101912153,101912
101912162,64,64,58,69,69,82,75,66,101912162,101912
101912169,90,94,90,90,95,97,97,91,101912169,101912
101912179,39,48,44,43,48,67,65,36,101912179,101912
101912181,72,75,70,81,87,82,78,56,101912181,101912
101912182,55,57,49,58,49,46,61,20,101912182,101912
101912185,22,52,44,64,58,82,55,50,101912185,101912
