,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
091909,21.6,21.6,21.6,091909
091910,19.7,19.7,19.7,091910
091913,20.3,20.3,20.3,091913
091914,22.9,22.9,22.9,091914
091917,21.8,21.8,21.8,091917
091918,21.8,21.8,21.8,091918
092801,.,.,.,092801
092901,21.4,21.4,21.4,092901
092902,19,19,19,092902
092903,19.1,19.1,19.1,092903
092904,22.5,22.5,22.5,092904
092906,20.5,20.5,20.5,092906
092907,21.7,21.7,21.7,092907
092908,21.6,21.6,21.6,092908
093901,20.4,20.4,20.4,093901
093903,-1,-1,-1,093903
093904,20.2,20.2,20.2,093904
093905,-1,-1,-1,093905
094901,19.5,19.5,19.5,094901
094902,21.7,21.7,21.7,094902
094903,20.3,20.3,20.3,094903
094904,19.8,19.8,19.8,094904
095901,19.7,19.7,19.7,095901
095902,18,18,18,095902
095903,17.7,17.7,17.7,095903
095904,17.7,17.7,17.7,095904
095905,20.1,20.1,20.1,095905
096904,20.4,20.4,20.4,096904
096905,17.6,17.6,17.6,096905
097902,20.7,20.7,20.7,097902
097903,21.9,21.9,21.9,097903
098901,22.1,22.1,22.1,098901
098903,.,.,.,098903
098904,19,19,19,098904
099902,-1,-1,-1,099902
099903,20.8,20.8,20.8,099903
100903,17.9,17.9,17.9,100903
100904,21.4,21.4,21.4,100904
100905,21.6,21.6,21.6,100905
100907,20.7,20.7,20.7,100907
100908,20.3,20.3,20.3,100908
101801,.,.,.,101801
101802,.,.,.,101802
101803,.,.,.,101803
101804,17,17,17,101804
101805,.,.,.,101805
101806,.,.,.,101806
101807,.,.,.,101807
101809,.,.,.,101809
101810,.,.,.,101810
101811,.,.,.,101811
101812,-1,-1,-1,101812
101813,.,.,.,101813
101814,.,.,.,101814
101815,.,.,.,101815
101817,.,.,.,101817
101819,.,.,.,101819
101820,-1,-1,-1,101820
101821,16,16,16,101821
101822,.,.,.,101822
101823,.,.,.,101823
101828,.,.,.,101828
101829,.,.,.,101829
101831,.,.,.,101831
101833,.,.,.,101833
101834,.,.,.,101834
101837,16.8,16.8,16.8,101837
101838,-1,-1,-1,101838
101840,.,.,.,101840
101842,-1,-1,-1,101842
101843,.,.,.,101843
101845,20.8,20.8,20.8,101845
101846,-1,-1,-1,101846
101847,.,.,.,101847
101848,.,.,.,101848
101849,.,.,.,101849
101850,.,.,.,101850
101851,.,.,.,101851
101852,.,.,.,101852
101853,.,.,.,101853
101854,.,.,.,101854
101855,.,.,.,101855
101856,.,.,.,101856
101857,.,.,.,101857
101858,.,.,.,101858
101859,.,.,.,101859
101860,.,.,.,101860
101861,.,.,.,101861
101862,.,.,.,101862
101902,17.6,17.6,17.6,101902
101903,17.6,17.6,17.6,101903
101905,18.5,18.5,18.5,101905
101906,19.3,19.3,19.3,101906
101907,21.8,21.8,21.8,101907
101908,20.8,20.8,20.8,101908
101909,15.3,15.3,15.3,101909
101910,17.4,17.4,17.4,101910
101911,20.5,20.5,20.5,101911
101912,20.1,20.1,20.1,101912
101913,21.9,21.9,21.9,101913
101914,23.5,23.5,23.5,101914
101915,22.4,22.4,22.4,101915
101916,19.4,19.4,19.4,101916
101917,19,19,19,101917
101919,18.3,18.3,18.3,101919
101920,23.4,23.4,23.4,101920
101921,21.6,21.6,21.6,101921
101924,17.6,17.6,17.6,101924
101925,21.2,21.2,21.2,101925
102901,17,17,17,102901
102902,19.2,19.2,19.2,102902
102903,19.8,19.8,19.8,102903
102904,20.7,20.7,20.7,102904
102905,20.6,20.6,20.6,102905
102906,20.5,20.5,20.5,102906
103901,23,23,23,103901
103902,20,20,20,103902
104901,18.5,18.5,18.5,104901
104903,19.2,19.2,19.2,104903
104907,-1,-1,-1,104907
105801,21,21,21,105801
105802,.,.,.,105802
105902,18,18,18,105902
105904,23.4,23.4,23.4,105904
105905,21.6,21.6,21.6,105905
105906,20,20,20,105906
106901,20.6,20.6,20.6,106901
107901,20.8,20.8,20.8,107901
107902,19.7,19.7,19.7,107902
107904,20.4,20.4,20.4,107904
107905,20.5,20.5,20.5,107905
107906,21.9,21.9,21.9,107906
107907,-1,-1,-1,107907
107908,.,.,.,107908
107910,20.8,20.8,20.8,107910
108801,17.5,17.5,17.5,108801
108802,.,.,.,108802
108804,-1,-1,-1,108804
108807,18.5,18.5,18.5,108807
108808,.,.,.,108808
108902,16.9,16.9,16.9,108902
108903,16.8,16.8,16.8,108903
108904,17.5,17.5,17.5,108904
108905,16.3,16.3,16.3,108905
108906,18.6,18.6,18.6,108906
108907,17.5,17.5,17.5,108907
108908,18.1,18.1,18.1,108908
108909,16.6,16.6,16.6,108909
108910,17,17,17,108910
108911,19.5,19.5,19.5,108911
108912,17.2,17.2,17.2,108912
108913,17.9,17.9,17.9,108913
108914,17.2,17.2,17.2,108914
108915,.,.,.,108915
108916,16.8,16.8,16.8,108916
109901,21.1,21.1,21.1,109901
109902,19.4,19.4,19.4,109902
109903,18.4,18.4,18.4,109903
109904,-1,-1,-1,109904
109905,21.4,21.4,21.4,109905
109907,18.9,18.9,18.9,109907
109908,.,.,.,109908
109910,.,.,.,109910
109911,18.1,18.1,18.1,109911
109912,.,.,.,109912
109913,-1,-1,-1,109913
109914,-1,-1,-1,109914
110901,20.3,20.3,20.3,110901
110902,19.8,19.8,19.8,110902
110905,22.8,22.8,22.8,110905
110906,20.3,20.3,20.3,110906
110907,21.8,21.8,21.8,110907
110908,20.2,20.2,20.2,110908
111901,21.4,21.4,21.4,111901
111902,-1,-1,-1,111902
111903,20.8,20.8,20.8,111903
112901,20.2,20.2,20.2,112901
112905,20.2,20.2,20.2,112905
112906,20,20,20,112906
112907,20,20,20,112907
112908,18.1,18.1,18.1,112908
112909,19.7,19.7,19.7,112909
112910,18.4,18.4,18.4,112910
113901,-1,-1,-1,113901
113902,20.6,20.6,20.6,113902
113903,20.4,20.4,20.4,113903
113905,18.7,18.7,18.7,113905
113906,18.5,18.5,18.5,113906
114901,20.3,20.3,20.3,114901
114902,23.8,23.8,23.8,114902
114904,20,20,20,114904
115901,16.1,16.1,16.1,115901
115902,13.9,13.9,13.9,115902
115903,-1,-1,-1,115903
116801,-1,-1,-1,116801
116901,21.1,21.1,21.1,116901
116902,19.2,19.2,19.2,116902
116903,20.3,20.3,20.3,116903
116905,19.4,19.4,19.4,116905
116906,21.1,21.1,21.1,116906
116908,20.7,20.7,20.7,116908
116909,21.1,21.1,21.1,116909
116910,20.3,20.3,20.3,116910
116915,19.4,19.4,19.4,116915
116916,19.6,19.6,19.6,116916
117901,21.7,21.7,21.7,117901
117903,19.1,19.1,19.1,117903
117904,19.9,19.9,19.9,117904
117907,.,.,.,117907
118902,19,19,19,118902
119901,21.4,21.4,21.4,119901
119902,21.3,21.3,21.3,119902
119903,-1,-1,-1,119903
120901,19.2,19.2,19.2,120901
120902,19.3,19.3,19.3,120902
120905,21.6,21.6,21.6,120905
121902,-1,-1,-1,121902
121903,18.9,18.9,18.9,121903
121904,19.9,19.9,19.9,121904
121905,19.7,19.7,19.7,121905
121906,-1,-1,-1,121906
122901,20.5,20.5,20.5,122901
122902,.,.,.,122902
123801,.,.,.,123801
123803,.,.,.,123803
123804,.,.,.,123804
123805,.,.,.,123805
123806,.,.,.,123806
123905,20.7,20.7,20.7,123905
123907,16.7,16.7,16.7,123907
123908,20.9,20.9,20.9,123908
123910,17.8,17.8,17.8,123910
123913,22.4,22.4,22.4,123913
123914,21,21,21,123914
124901,16.1,16.1,16.1,124901
125901,18.6,18.6,18.6,125901
125902,17.6,17.6,17.6,125902
125903,19.7,19.7,19.7,125903
125905,18.1,18.1,18.1,125905
125906,.,.,.,125906
126901,22.1,22.1,22.1,126901
126902,22.1,22.1,22.1,126902
126903,20.7,20.7,20.7,126903
126904,21.3,21.3,21.3,126904
126905,21,21,21,126905
126906,-1,-1,-1,126906
126907,20.3,20.3,20.3,126907
126908,20.2,20.2,20.2,126908
126911,20.8,20.8,20.8,126911
127901,18.1,18.1,18.1,127901
127903,19.2,19.2,19.2,127903
127904,20.4,20.4,20.4,127904
127905,-1,-1,-1,127905
127906,20.2,20.2,20.2,127906
128901,22,22,22,128901
128902,16.9,16.9,16.9,128902
128903,16.4,16.4,16.4,128903
128904,19,19,19,128904
129901,22.1,22.1,22.1,129901
129902,21,21,21,129902
129903,19.9,19.9,19.9,129903
129904,19.1,19.1,19.1,129904
129905,20.8,20.8,20.8,129905
129906,18.7,18.7,18.7,129906
129910,20.4,20.4,20.4,129910
130801,.,.,.,130801
130901,24,24,24,130901
130902,19.8,19.8,19.8,130902
131001,.,.,.,131001
132902,19.1,19.1,19.1,132902
133901,18.6,18.6,18.6,133901
133902,.,.,.,133902
133903,21.1,21.1,21.1,133903
133904,22.1,22.1,22.1,133904
133905,.,.,.,133905
134901,19.9,19.9,19.9,134901
135001,-1,-1,-1,135001
136901,20.4,20.4,20.4,136901
137901,19,19,19,137901
137902,.,.,.,137902
137903,19.3,19.3,19.3,137903
137904,18.7,18.7,18.7,137904
138902,21,21,21,138902
138903,18.5,18.5,18.5,138903
138904,20,20,20,138904
139905,20.7,20.7,20.7,139905
139908,19.1,19.1,19.1,139908
139909,19.8,19.8,19.8,139909
139911,21.4,21.4,21.4,139911
139912,23,23,23,139912
140901,-1,-1,-1,140901
140904,20,20,20,140904
140905,19.8,19.8,19.8,140905
140907,19,19,19,140907
140908,19.1,19.1,19.1,140908
141901,21.5,21.5,21.5,141901
141902,17.6,17.6,17.6,141902
142901,17.1,17.1,17.1,142901
143901,20.1,20.1,20.1,143901
143902,-1,-1,-1,143902
143903,21.4,21.4,21.4,143903
143904,.,.,.,143904
143905,.,.,.,143905
143906,.,.,.,143906
144901,20.5,20.5,20.5,144901
144902,22.8,22.8,22.8,144902
144903,.,.,.,144903
145901,20.9,20.9,20.9,145901
145902,19.5,19.5,19.5,145902
145906,19.5,19.5,19.5,145906
145907,-1,-1,-1,145907
145911,19.4,19.4,19.4,145911
146901,17.8,17.8,17.8,146901
146902,18.4,18.4,18.4,146902
146903,.,.,.,146903
146904,22.9,22.9,22.9,146904
146905,19.8,19.8,19.8,146905
146906,20.2,20.2,20.2,146906
146907,20.4,20.4,20.4,146907
