,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
108906112,83,60,56,2,476,12,0,28,422,.,.,.,11.032258065,42330,30.3616,108,N,97.4,108906112,108906
108906113,42,57,58,0,397,3,0,27,363,.,.,.,13.6,43937,26.3619,108,N,97.8,108906113,108906
108906116,104,119,101,4,717,14,0,29,637,.,.,.,12.033381797,42728,40.1458,108,N,97.9,108906116,108906
108906121,104,118,96,0,696,2,61,59,662,.,.,.,8.7019130957,40005,44.7943,108,N,97.4,108906121,108906
108906122,146,152,164,7,967,108,89,43,534,.,.,.,11.886231454,42463,55.9259,108,N,97.3,108906122,108906
108906124,121,156,145,7,831,139,179,45,279,.,.,.,9.7534299209,41144,48.9981,108,N,97.4,108906124,108906
108906126,134,128,120,4,912,48,45,65,700,.,.,.,10.926499379,42233,49.2152,108,N,97,108906126,108906
108909101,76,66,72,4,534,16,38,43,423,.,.,.,12.65625,42689,32,108,N,98.1,108909101,108909
108909102,64,54,65,1,419,4,17,34,390,.,.,.,12.149205858,43275,25.8766,108,N,97.5,108909102,108909
108909104,74,79,76,0,517,5,26,44,479,.,.,.,8.7333333333,38722,30,108,N,96.7,108909104,108909
108909106,106,87,86,0,643,4,47,55,599,.,.,.,10.820737997,40442,38.9894,108,N,97.9,108909106,108909
108909107,91,72,89,1,587,5,35,39,520,.,.,.,9.2242045326,38694,36.3717,108,N,97.8,108909107,108909
108909109,54,57,52,1,364,2,19,23,346,.,.,.,15.615384615,44017,26,108,N,97.7,108909109,108909
108909110,83,79,78,0,566,6,25,40,543,.,.,.,10.617647059,40876,34,108,N,97.7,108909110,108909
108909113,65,60,73,2,507,12,36,39,461,.,.,.,11.633333333,40590,30.0001,108,N,97,108909113,108909
108909114,59,47,44,1,360,0,13,26,352,.,.,.,5.2811195974,36117,24.9951,108,N,97.6,108909114,108909
108909116,102,108,88,1,719,10,34,45,665,.,.,.,8.9347795936,38781,41.8184,108,N,98,108909116,108909
108909117,88,94,99,1,689,16,43,51,524,.,.,.,10.018081253,40460,39.9201,108,N,97.2,108909117,108909
108909118,87,83,103,0,648,1,61,35,599,.,.,.,9.7105263158,39688,38,108,N,98.3,108909118,108909
108909119,124,109,112,6,770,14,74,58,550,.,.,.,12.370200421,41662,42.8448,108,N,98.5,108909119,108909
108909120,98,88,90,0,746,1,45,47,658,.,.,.,11.263260448,40024,42.8018,108,N,98.4,108909120,108909
108909122,97,107,81,0,655,2,27,64,616,.,.,.,11.587305044,41060,40.4071,108,N,98.1,108909122,108909
108909124,106,114,90,0,757,10,64,55,661,.,.,.,13.723847562,42688,42.9889,108,N,97,108909124,108909
108909125,98,91,100,0,693,3,51,50,625,.,.,.,8.9322063862,39339,42.9894,108,N,97,108909125,108909
108909126,89,84,73,0,591,4,31,56,578,.,.,.,6.6470588235,37149,34.0001,108,N,96.8,108909126,108909
108909127,110,110,102,0,822,1,46,58,802,.,.,.,6.4232517445,36598,46.8613,108,N,97.2,108909127,108909
108912105,77,65,67,0,432,0,21,61,391,.,.,.,5.804777741,38540,28.7166,108,N,96.3,108912105,108912
108912107,106,117,115,0,784,1,38,53,711,.,.,.,6.8032331963,39537,46.8808,108,N,97.5,108912107,108912
108912108,112,124,115,0,846,3,54,79,725,.,.,.,10.443077153,43102,50.9197,108,N,96.8,108912108,108912
108912109,110,105,116,0,842,1,42,78,770,.,.,.,6.4030431913,38703,49.5402,108,N,96.8,108912109,108912
108912110,123,117,113,0,821,6,34,69,739,.,.,.,8.3531229146,40713,48.5509,108,N,96.5,108912110,108912
108912111,111,118,96,0,766,2,35,56,718,.,.,.,9.1322067425,41132,46.9148,108,N,97.1,108912111,108912
108912115,102,137,98,0,755,0,44,86,680,.,.,.,7.8695652174,40290,45.9984,108,N,96.6,108912115,108912
108912116,78,70,65,0,506,0,24,35,453,.,.,.,6.8840643834,39011,31.6418,108,N,96.2,108912116,108912
108912117,77,92,69,0,495,0,44,59,438,.,.,.,7.5147183274,39831,32.8499,108,N,96.2,108912117,108912
108912118,102,137,115,0,842,1,45,42,773,.,.,.,7.2129297247,39903,47.8647,108,N,97.3,108912118,108912
108912120,127,108,111,0,861,2,23,55,791,.,.,.,4.2608695652,37558,45.9995,108,N,.,108912120,108912
108913102,49,77,60,2,428,14,22,61,323,.,.,.,10.591302408,42142,29.4146,108,N,97.5,108913102,108913
108913104,113,134,102,0,746,6,24,77,625,.,.,.,8.4089101034,40647,42.0255,108,N,97.2,108913104,108913
108913106,95,96,124,0,701,2,10,71,662,.,.,.,13.333333333,44222,44.3827,108,N,97.8,108913106,108913
108913109,166,160,175,3,1198,25,63,92,1029,.,.,.,13.014285714,43946,69.6886,108,N,98,108913109,108913
108913110,145,118,124,1,910,8,32,83,823,.,.,.,13.83553784,44427,51.3791,108,N,98,108913110,108913
108913112,119,112,125,1,778,5,28,63,728,.,.,.,11.303064808,42334,49.8811,108,N,98,108913112,108913
108913113,123,113,145,1,876,13,30,88,797,.,.,.,8.8358080402,40114,53.5869,108,N,98.1,108913113,108913
108914101,43,48,41,0,342,0,26,21,312,.,.,.,11.806368972,40919,20.1657,108,N,96.5,108914101,108914
108916104,77,83,85,0,554,0,33,41,506,.,.,.,3.9152487815,35293,32.9305,108,N,97.8,108916104,108916
109905101,36,28,24,50,226,153,10,26,159,.,.,.,13.723684211,37429,15.1989,109,N,97.5,109905101,109905
109913101,20,21,25,3,146,122,17,13,83,.,.,.,13,34478,10.9998,109,N,96.4,109913101,109913
110907101,45,35,40,3,275,130,21,23,145,.,.,.,13.770730331,38599,23.3363,110,N,97.2,110907101,110907
116901101,102,81,96,22,578,505,42,67,206,.,.,.,13.342688208,36871,40.59,116,N,96.4,116901101,116901
116902101,43,38,33,11,233,209,14,45,88,.,.,.,11.852350289,36893,19.1972,116,N,97.8,116902101,116902
121902101,14,20,30,16,155,134,0,28,108,.,.,.,11.571428571,36053,13.223,121,N,97.1,121902101,121902
121903101,119,126,125,31,771,706,19,112,353,.,.,.,15.831460674,36864,43.7913,121,N,95.9,121903101,121903
123907102,45,61,70,315,369,9,3,37,285,.,.,.,12.269230769,39071,24.8641,123,N,96.4,123907102,123907
123907103,107,117,115,452,790,51,11,80,636,.,.,.,13.236295722,40080,45.2977,123,N,95.8,123907103,123907
123907104,123,144,136,366,801,11,34,37,684,.,.,.,10.249789608,38256,52.0158,123,N,96.7,123907104,123907
123907105,98,101,110,140,709,25,19,30,612,.,.,.,14.902439024,41163,40.5003,123,N,96.2,123907105,123907
123907108,92,101,103,299,702,18,16,94,664,.,.,.,14.311870915,40306,42.5301,123,N,95.5,123907108,123907
123907109,128,121,114,309,761,81,24,57,687,.,.,.,13.791794229,41240,40.3177,123,N,95.6,123907109,123907
123907110,58,69,50,310,350,15,23,40,269,.,.,.,14.52,40366,22.1493,123,N,94.8,123907110,123907
123907113,48,41,58,143,318,121,10,24,243,.,.,.,17.994134115,43196,22.5401,123,N,96.1,123907113,123907
124901101,67,73,73,1,545,18,30,58,410,.,.,.,12.7,38362,38.6666,124,N,95.5,124901101,124901
128901105,57,58,64,17,429,128,36,29,290,.,.,.,13.875601646,36484,32.311,128,N,97.4,128901105,128901
129905105,83,83,74,13,523,469,16,63,305,40.5,.,.,15.358974359,40164,35.6358,129,N,95.4,129905105,129905
133901101,38,38,35,5,257,151,10,31,168,.,.,.,12.130393097,37017,19.4019,133,N,97.4,133901101,133901
133903102,58,64,74,22,476,244,23,40,223,.,.,.,12.70826451,39251,32.6011,133,N,96.8,133903102,133903
137903101,22,29,33,0,178,63,0,14,105,.,.,.,13,39169,15.235,137,N,97.3,137903101,137903
139905101,65,52,64,15,385,347,8,37,207,.,.,.,10.886792453,33729,26.5045,139,N,96.7,139905101,139905
