,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
100904,1388,20.3,85,78,93,100904
100905,1434,22.2,95,83,97,100905
100907,1430,22.6,90,87,96,100907
100908,1312,-1,76,81,90,100908
101801,.,.,.,.,.,101801
101802,.,.,100,.,.,101802
101803,.,.,92,80,.,101803
101804,1104,14.6,33,38,73,101804
101805,1113,14.4,61,48,95,101805
101806,1194,-1,95,75,90,101806
101807,.,.,.,.,.,101807
101809,1357,.,35,54,78,101809
101810,.,.,.,.,.,101810
101811,.,.,-1,-1,.,101811
101813,1288,19.5,83,77,98,101813
101814,.,.,.,.,.,101814
101815,.,.,.,.,.,101815
101819,.,.,.,.,.,101819
101821,1000,13.8,70,55,84,101821
101828,1211,.,98,71,100,101828
101829,.,.,.,.,.,101829
101833,.,.,.,.,.,101833
101837,1348,.,97,81,98,101837
101838,1297,-1,71,64,85,101838
101840,.,.,.,.,.,101840
101842,.,.,50,62,100,101842
101845,1422,19.1,93,84,99,101845
101846,1510,22,89,79,95,101846
101847,.,.,.,.,.,101847
101848,.,.,.,.,.,101848
101849,.,.,.,.,.,101849
101850,.,.,.,.,.,101850
101853,.,.,.,.,.,101853
101855,.,.,.,.,.,101855
101856,.,.,.,.,.,101856
101858,1572,24.6,95,88,99,101858
101859,.,.,93,.,.,101859
101861,.,.,.,.,.,101861
101862,.,.,94,86,98,101862
101864,.,.,.,.,.,101864
101865,.,.,81,57,80,101865
101866,.,.,.,.,.,101866
101867,.,.,81,41,.,101867
101868,.,.,61,31,44,101868
101869,.,.,52,27,.,101869
101902,1267,17.7,73,57,88,101902
101903,1292,18.2,74,62,89,101903
101905,1296,17.3,75,60,90,101905
101906,1418,18.8,83,66,88,101906
101907,1503,21.9,89,79,95,101907
101908,1450,20.8,90,79,94,101908
101910,1320,17.9,79,67,92,101910
101911,1390,19.1,85,71,92,101911
101912,1247,20.5,72,59,85,101912
101913,1488,22.8,87,78,95,101913
101914,1584,23.9,90,86,97,101914
101915,1503,22.4,87,75,95,101915
101916,1395,18.9,83,72,92,101916
101917,1324,19.8,83,64,92,101917
101919,1174,18.2,70,58,85,101919
101920,1535,23.8,83,72,93,101920
101921,1530,23,94,88,97,101921
101924,1251,18.1,76,60,82,101924
101925,1444,22.3,86,81,92,101925
102901,.,19.6,-1,60,100,102901
102902,1397,19.1,66,58,79,102902
102903,-1,19.7,81,62,94,102903
102904,1420,20.7,90,73,95,102904
102905,-1,23,98,76,78,102905
102906,-1,20.9,76,78,-1,102906
103901,.,-1,85,60,93,103901
103902,.,-1,65,88,85,103902
104901,-1,20.1,85,89,96,104901
104903,.,.,77,71,63,104903
104907,.,21.2,100,86,100,104907
105801,1564,-1,57,70,100,105801
105802,.,.,.,.,.,105802
105902,1399,19.7,68,56,88,105902
105904,1619,24.3,96,93,98,105904
105905,1619,23.8,95,85,97,105905
105906,1421,20.7,82,72,90,105906
106901,-1,20.2,95,78,94,106901
107901,1449,19.8,72,66,79,107901
107902,1479,21.7,89,81,89,107902
107904,1293,19.8,83,59,50,107904
107905,1415,-1,81,68,98,107905
107906,1342,18.5,71,61,87,107906
107907,-1,.,82,75,100,107907
107908,.,.,.,.,.,107908
107910,1327,21,69,62,81,107910
108801,-1,15.4,44,45,59,108801
108802,.,.,.,.,.,108802
