,gr6_ela_avg,gr7_ela_avg,gr7_writ_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
057903045,93,88,80,96,87,057903045,057903
057903046,81,77,72,87,66,057903046,057903
057903047,80,86,81,90,65,057903047,057903
057905011,.,.,.,.,.,057905011,057905
057905042,59,54,47,77,54,057905042,057905
057905043,55,46,47,73,46,057905043,057905
057905044,47,46,45,73,41,057905044,057905
057905045,57,61,50,71,58,057905045,057905
057905046,48,55,58,74,54,057905046,057905
057905047,66,64,69,88,80,057905047,057905
057905048,58,60,61,81,67,057905048,057905
057905049,74,83,82,92,80,057905049,057905
057905050,63,54,56,83,53,057905050,057905
057905051,49,46,37,67,45,057905051,057905
057905052,50,56,50,83,82,057905052,057905
057905053,69,72,74,82,72,057905053,057905
057905054,56,55,46,79,65,057905054,057905
057905055,56,47,47,77,60,057905055,057905
057905056,81,74,77,91,84,057905056,057905
057905057,100,99,100,100,98,057905057,057905
057905058,61,59,61,83,67,057905058,057905
057905059,59,55,64,80,61,057905059,057905
057905060,37,47,47,72,50,057905060,057905
057905062,44,38,30,67,28,057905062,057905
057905066,99,100,99,98,90,057905066,057905
057905068,58,57,59,84,74,057905068,057905
057905069,66,64,59,85,78,057905069,057905
057905071,100,100,97,100,99,057905071,057905
057905072,44,36,37,66,44,057905072,057905
057905073,100,98,99,100,89,057905073,057905
057905074,39,39,32,61,30,057905074,057905
057905076,48,48,46,73,39,057905076,057905
057905077,64,54,57,78,61,057905077,057905
057905079,52,52,46,81,57,057905079,057905
057905083,50,48,52,73,56,057905083,057905
057905100,66,63,68,82,59,057905100,057905
057905352,59,56,56,79,64,057905352,057905
057905353,63,59,56,82,54,057905353,057905
057905354,53,59,50,77,57,057905354,057905
057905356,100,100,100,100,95,057905356,057905
057905357,100,96,99,100,94,057905357,057905
057905359,86,90,87,98,71,057905359,057905
057906041,69,72,61,87,61,057906041,057906
057906042,77,80,75,84,54,057906042,057906
057906043,60,72,64,91,65,057906043,057906
057909041,91,89,91,96,83,057909041,057909
057909042,64,69,64,85,52,057909042,057909
057909043,61,61,51,78,50,057909043,057909
057909045,85,85,84,91,78,057909045,057909
057909046,72,68,59,86,59,057909046,057909
057909047,88,86,84,96,86,057909047,057909
057909048,70,61,53,78,60,057909048,057909
057909049,88,83,82,94,70,057909049,057909
057909050,74,71,61,89,64,057909050,057909
057909051,75,59,52,84,50,057909051,057909
057909052,83,80,76,95,75,057909052,057909
057909054,82,81,77,93,69,057909054,057909
057910041,57,66,56,80,53,057910041,057910
057910045,74,82,73,90,66,057910045,057910
057910047,74,64,58,89,73,057910047,057910
057910050,85,88,81,96,84,057910050,057910
057910051,58,50,34,78,45,057910051,057910
057910052,61,71,56,80,58,057910052,057910
057912041,58,55,58,79,64,057912041,057912
057912042,50,54,58,80,49,057912042,057912
057912043,68,64,65,75,52,057912043,057912
057912044,57,60,59,79,67,057912044,057912
057912045,51,61,62,80,56,057912045,057912
057912046,68,72,64,84,65,057912046,057912
057912048,60,60,64,82,73,057912048,057912
057912050,56,62,66,86,50,057912050,057912
057914043,74,80,76,88,81,057914043,057914
057914045,67,64,65,78,66,057914045,057914
057914047,76,77,71,89,77,057914047,057914
057914048,77,75,76,89,74,057914048,057914
057922042,94,91,92,98,88,057922042,057922
057922043,92,95,87,97,82,057922043,057922
057922044,96,92,87,99,87,057922044,057922
058906041,57,70,59,81,45,058906041,058906
060902041,65,69,69,89,59,060902041,060902
061901041,90,89,87,98,92,061901041,061901
061901044,84,74,75,93,70,061901044,061901
061901045,75,73,67,85,75,061901045,061901
061901046,88,87,80,95,84,061901046,061901
061901047,90,88,87,94,76,061901047,061901
061901048,95,96,93,98,92,061901048,061901
061901049,80,75,70,91,71,061901049,061901
061902042,68,73,74,85,59,061902042,061902
061902044,76,77,67,93,62,061902044,061902
061902045,92,92,88,97,89,061902045,061902
061902046,81,76,64,88,65,061902046,061902
061902047,93,91,88,97,85,061902047,061902
061902048,91,94,92,100,86,061902048,061902
061902049,94,94,91,98,82,061902049,061902
061902050,59,58,49,83,50,061902050,061902
061902052,76,80,72,86,60,061902052,061902
061902053,94,96,92,98,93,061902053,061902
061902054,86,90,89,96,81,061902054,061902
061902055,94,94,90,98,88,061902055,061902
061902056,74,81,73,96,60,061902056,061902
061902058,92,94,96,96,89,061902058,061902
061902059,89,92,87,92,75,061902059,061902
061905041,86,85,79,96,67,061905041,061905
061906041,88,73,80,92,78,061906041,061906
061907041,87,87,87,95,84,061907041,061907
061911042,92,95,92,98,95,061911042,061911
061911043,80,85,85,91,84,061911043,061911
061911044,82,87,84,91,83,061911044,061911
061911045,92,88,84,96,87,061911045,061911
