,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
057831001,69,57,39,365,386,2,4,25,27,280,.,.,.,1.9,38073,21.8,057,Y,97.4,057831001,057831
057841001,40,23,25,31,392,0,87,0,12,376,.,.,.,0.3,50222,14.9,057,Y,96.4,057841001,057841
057843101,97,102,55,416,615,0,8,0,41,469,.,.,.,0.5,42824,29.8,057,Y,95.5,057843101,057843
057903103,93,106,95,13,668,0,19,26,51,618,.,.,.,6.9,51333,39.5,057,N,96.8,057903103,057903
057903106,84,74,54,37,692,23,148,27,36,395,.,.,.,8.8,52416,40,057,N,97,057903106,057903
057903110,88,88,107,40,555,26,47,23,59,442,.,.,.,10.1,52894,35,057,N,97.1,057903110,057903
057903111,80,92,91,44,604,23,94,32,38,432,.,.,.,6.9,51392,36.3,057,N,97.1,057903111,057903
057903120,81,88,80,121,592,222,135,42,30,161,.,.,.,8.4,52047,32.5,057,N,96.9,057903120,057903
057903122,64,61,70,56,398,93,141,23,51,144,.,.,.,13.7,54784,26,057,N,97.3,057903122,057903
057903125,141,118,124,349,958,33,89,21,89,780,.,.,.,8.4,51292,56.7,057,N,95.9,057903125,057903
057903129,105,109,87,323,717,16,46,11,51,597,.,.,.,3.9,49759,40.5,057,N,96.4,057903129,057903
057904101,48,40,43,184,301,3,38,5,15,211,.,.,.,11.7,50207,20,057,N,96.1,057904101,057904
057905101,118,105,81,51,742,0,15,64,34,674,.,.,.,9.5,52386,44,057,N,97.2,057905101,057905
057905103,97,82,78,78,580,6,7,74,29,554,.,.,.,14.9,56537,37,057,N,96.5,057905103,057905
057905104,114,117,117,79,824,0,9,69,46,804,.,.,.,10.9,52525,49.5,057,N,97.1,057905104,057905
057905105,107,104,87,22,706,1,11,74,30,634,.,.,.,13.4,53969,42.5,057,N,97.3,057905105,057905
057905108,100,96,78,211,604,0,16,57,43,535,.,.,.,9.9,51785,41,057,N,95.9,057905108,057905
057905112,73,74,88,34,558,1,5,42,28,528,.,.,.,10.6,53275,33.5,057,N,96.4,057905112,057905
057905114,74,94,83,390,557,0,10,59,46,501,.,.,.,12.4,54144,39,057,N,95.5,057905114,057905
057905115,77,69,74,159,510,0,3,75,12,466,.,.,.,12,54246,31.5,057,N,96.5,057905115,057905
057905116,180,167,138,21,1031,0,4,82,33,909,.,.,.,10.5,53043,61,057,N,96.9,057905116,057905
057905117,106,109,102,266,720,0,9,75,23,642,.,.,.,8,51293,42.5,057,N,96.1,057905117,057905
057905118,67,67,52,340,477,0,1,51,10,410,.,.,.,8.6,52760,31.5,057,N,93.7,057905118,057905
057905119,79,77,66,26,570,11,19,52,37,543,.,.,.,11,53038,39.1,057,N,96.9,057905119,057905
057905121,50,47,44,188,341,0,3,15,29,322,.,.,.,8.6,51063,29,057,N,96.2,057905121,057905
057905124,68,68,69,388,493,5,4,34,25,434,.,.,.,12.8,55711,35.3,057,N,95.8,057905124,057905
057905126,69,80,59,71,478,0,166,42,47,415,.,.,.,6.4,50293,31,057,N,96.4,057905126,057905
057905128,75,71,68,379,502,5,0,29,26,437,.,.,.,15.2,56427,33,057,N,95.5,057905128,057905
057905130,88,113,114,5,659,0,7,43,39,606,.,.,.,9.6,52438,41.5,057,N,96.5,057905130,057905
057905131,57,59,37,24,376,0,8,38,25,353,.,.,.,12.2,53583,30,057,N,96.3,057905131,057905
057905133,98,87,77,85,639,0,4,48,38,602,.,.,.,12,53766,39,057,N,96.8,057905133,057905
057905135,67,55,60,25,392,9,106,47,21,221,.,.,.,8.3,50594,28.1,057,N,97.1,057905135,057905
057905136,62,58,73,5,458,1,3,18,30,439,.,.,.,14.5,54443,32,057,N,97,057905136,057905
057905137,90,71,85,114,580,0,7,56,42,514,.,.,.,11.1,51719,33,057,N,97.1,057905137,057905
057905140,31,29,26,77,204,1,0,18,19,172,.,.,.,12.1,53873,21,057,N,95.5,057905140,057905
057905141,52,56,45,28,355,15,11,15,22,338,.,.,.,14.5,54687,23.5,057,N,96,057905141,057905
057905144,52,57,70,44,436,2,7,37,21,394,.,.,.,8.4,51683,31.5,057,N,96.3,057905144,057905
057905152,72,64,70,7,525,0,6,48,23,477,.,.,.,10.4,52067,35,057,N,96.9,057905152,057905
