,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
043910047,94,89,91,89,88,93,98,91,043910047,043910
043910048,86,84,84,83,81,84,93,87,043910048,043910
043910049,88,82,86,87,84,91,95,86,043910049,043910
043910050,90,85,93,93,90,91,97,91,043910050,043910
043910052,85,75,80,76,70,87,91,79,043910052,043910
043910053,94,95,98,97,97,97,98,95,043910053,043910
043910054,95,93,95,94,92,96,98,94,043910054,043910
043910056,84,85,81,83,83,92,95,87,043910056,043910
043912041,96,89,88,91,92,97,97,91,043912041,043912
043912042,95,90,85,91,90,97,97,93,043912042,043912
043917041,73,60,75,73,68,87,86,70,043917041,043917
043918041,81,75,69,65,58,82,87,75,043918041,043918
044902041,79,64,74,82,85,86,86,74,044902041,044902
045902041,78,67,67,71,65,93,85,79,045902041,045902
045903043,61,61,52,72,63,89,83,77,045903043,045903
046901042,85,81,78,84,81,72,93,78,046901042,046901
046902041,97,87,95,91,91,98,98,95,046902041,046902
046902042,77,67,83,73,70,87,88,82,046902042,046902
046902044,84,81,91,91,87,95,95,92,046902044,046902
046902045,92,83,83,86,87,95,98,93,046902045,046902
046902046,79,70,70,77,72,91,88,85,046902046,046902
047901041,66,65,68,74,82,90,87,74,047901041,047901
047902041,77,84,91,95,89,98,95,75,047902041,047902
049905042,90,80,83,87,80,87,93,92,049905042,049905
050910041,72,70,68,74,68,78,89,82,050910041,050910
050910042,79,71,72,75,74,85,88,77,050910042,050910
052901041,69,54,65,70,58,86,77,68,052901041,052901
053001041,61,46,63,71,66,89,90,82,053001041,053001
054903041,51,43,51,38,49,65,84,45,054903041,054903
056901042,67,52,70,70,60,92,89,76,056901042,056901
057803012,77,64,56,69,54,100,94,79,057803012,057803
057803041,99,96,96,96,95,97,97,97,057803041,057803
057803043,84,68,70,80,77,81,92,74,057803043,057803
057803044,66,63,52,65,61,49,89,61,057803044,057803
057803045,85,78,86,88,85,90,95,91,057803045,057803
057803046,57,43,69,64,50,87,83,51,057803046,057803
057803047,80,79,71,78,73,97,91,85,057803047,057803
057803048,71,61,66,77,68,60,88,76,057803048,057803
057803049,70,52,46,64,59,-1,93,71,057803049,057803
057836041,75,75,78,95,92,78,78,69,057836041,057836
057848002,88,74,80,83,76,85,87,82,057848002,057848
057848005,67,58,70,69,69,88,91,74,057848005,057848
057848008,92,93,92,93,94,92,91,96,057848008,057848
057848011,60,65,63,66,70,75,90,65,057848011,057848
057848013,86,82,70,64,63,80,88,71,057848013,057848
057848015,79,79,73,82,81,81,94,75,057848015,057848
057848017,69,56,66,75,68,95,91,72,057848017,057848
057903041,68,59,44,66,60,83,81,71,057903041,057903
057903042,75,51,56,66,59,95,86,79,057903042,057903
057903044,64,56,47,66,58,81,80,70,057903044,057903
057903045,89,78,76,85,76,94,95,90,057903045,057903
057903046,71,59,48,66,60,88,84,73,057903046,057903
057903047,74,65,56,76,66,88,82,65,057903047,057903
057904041,66,57,51,66,60,81,74,67,057904041,057904
057904042,66,55,49,61,53,89,85,71,057904042,057904
057905011,.,.,.,.,.,.,.,.,057905011,057905
057905042,56,52,34,47,43,73,73,53,057905042,057905
057905043,58,47,51,67,59,89,78,77,057905043,057905
057905044,57,48,31,52,42,76,69,59,057905044,057905
057905045,79,47,69,58,52,77,71,62,057905045,057905
057905046,57,46,46,42,34,73,70,60,057905046,057905
057905047,63,57,45,65,56,78,82,80,057905047,057905
057905048,56,51,46,62,58,85,82,60,057905048,057905
057905049,84,69,68,81,78,95,90,88,057905049,057905
057905050,62,53,52,60,57,86,83,75,057905050,057905
057905051,49,43,44,61,42,82,78,64,057905051,057905
057905052,53,40,49,51,42,86,74,68,057905052,057905
057905053,81,63,61,63,60,92,79,74,057905053,057905
057905054,62,45,41,55,46,82,74,53,057905054,057905
057905055,56,39,42,48,43,70,64,45,057905055,057905
057905056,76,63,37,71,69,67,80,58,057905056,057905
