,SAT_avg,ACT_avg,SAT/ACT_pct
163908,1009,21.2,66.5
164901,-1,19.9,94.4
165802,.,-1,18.2
165901,1010,21.8,43.4
165902,976,21,45.2
166901,906,20.2,75.7
166902,.,.,.
166903,999,23.6,45.2
166904,998,20.3,62.1
166905,962,20.3,66.7
166907,-1,.,10
167901,959,21.1,55.6
167902,.,-1,-1
167903,-1,-1,55.6
167904,1032,22,75
168901,.,18.6,66.7
168902,758,15.5,58.3
168903,838,21.2,-2
169901,942,19.3,53
169902,1077,21.8,62
169906,-1,.,-1
169908,.,.,.
169909,.,23.6,45.5
169910,.,20.2,62.5
169911,942,-1,75
170801,.,.,.
170902,1071,23.4,73.4
170903,1028,22.8,66.9
170904,989,19.4,50.8
170906,1019,22,59.2
170907,911,19.8,44.3
170908,998,21.6,44.6
171901,1026,20.8,38.6
171902,.,18.8,77.4
172902,878,17.8,67.6
172905,968,20.2,42.4
173901,.,-1,42.9
174801,.,.,.
174901,869,19.8,91.7
174902,1008,18.8,71
174903,.,20.9,68.2
174904,1005,21.2,59
174906,1024,21.7,59.6
174908,932,20.8,65
174909,-1,21.1,100
174910,.,.,.
174911,1022,-1,55.6
175902,943,18.7,57.4
175903,977,18.7,46.7
175904,-1,19.9,44.4
175905,-1,20,76.2
175907,-1,17.6,100
175910,947,21.9,42.9
175911,932,18.5,43.5
176901,1055,20.3,62.5
176902,816,18.6,62.1
176903,916,18.2,33.3
177901,-1,19.2,87.5
177902,1124,21.5,59.3
177903,.,20.9,90
177905,-1,22.1,91.7
178801,.,.,0
178802,.,.,.
178804,820,.,9.3
178807,.,.,.
178808,.,.,.
178809,.,.,.
178901,.,18.1,-2
178902,884,19.8,71.1
178903,990,21.4,66
178904,956,19,54.5
178905,.,.,-1
178906,.,.,.
178908,1021,21.9,67.6
178909,-1,16.5,58.7
178912,985,20.3,52.1
178913,1032,18.7,78.3
178914,991,21.9,63.1
178915,783,16.9,62.9
179901,-1,21.1,65.4
180901,-1,17.2,-2
180902,-1,21.3,73.9
180903,.,21.9,87.5
180904,.,.,.
181901,936,20.2,63.9
181905,973,21.8,74.8
181906,786,16,73.7
181907,940,19.7,45.7
181908,998,21.2,61.3
182901,980,21.2,80
182902,960,.,42.3
182903,989,22,42
182904,1091,21.4,59.3
182905,.,20.1,46.7
182906,.,.,.
183801,.,-1,5.9
183901,.,19.8,69.6
183902,1081,19.6,62.8
183904,.,18.6,47.1
184801,-1,.,2.1
184901,982,19.5,46.3
184902,1000,22.1,49.7
184903,1056,22.6,51.7
184904,998,22.3,71.4
184907,1117,25,71.5
184908,1069,23.4,50.6
184909,915,20.5,63.5
184911,.,.,.
185901,-1,16.9,85.3
185902,.,19.9,76.7
185903,-1,17.8,81.4
185904,.,20.4,90
186901,-1,-1,25
186902,864,17.7,47.5
186903,976,19.2,22.8
187901,986,22.7,54.2
187903,944,15.1,-2
187904,887,15.6,74.5
187906,816,.,50
187907,899,18.1,58.7
187910,928,18.1,54.2
188801,-1,.,1.8
188901,1028,20.2,51
188902,989,21.4,49.4
188903,.,18.7,82.5
188904,978,20.2,79
189901,-1,18,82.8
189902,876,16.8,65.5
190903,957,19.8,73.3
191901,1036,22.5,64.2
192901,-1,20.8,73.2
193801,.,15.6,-2
193902,.,20,85.7
194902,.,20.6,90.5
194903,-1,19.5,71.1
194904,-1,17,68.3
194905,916,19.8,65.8
195901,896,21,47.6
195902,763,.,87.5
196901,-1,-1,57.1
196902,.,18.9,72
196903,919,18.8,64.4
197902,.,21.9,80
198901,808,17.7,80.8
198902,.,15.8,45.5
198903,977,20.5,69.4
198905,820,17.2,68.2
198906,995,22,34.4
199901,1072,23.1,70.3
199902,991,21.2,44.4
200901,968,21.1,82
200902,-1,19.6,82.5
200904,895,20.2,78.8
200906,.,.,.
201902,1036,20.4,54.6
201903,.,-1,80
201904,-1,19.3,60
201907,-1,20.4,47.6
201908,947,20.1,45.2
201910,1002,19.7,54.8
201913,941,19.2,53.1
201914,898,20,75.6
202903,981,20,67.3
202905,909,19.7,70.6
203901,.,15.7,80.6
203902,-1,17.4,95.8
204901,864,18,64.6
204904,947,17.2,50.5
205901,903,20.8,60.5
205902,1000,21,60.1
205903,977,19.6,48.2
205904,.,16.2,69.1
205905,888,17.7,78.6
205906,920,20.2,58.8
205907,848,16.2,60.9
206901,-1,18.8,63.6
206902,-1,-1,54.5
206903,-1,-1,85.7
207901,-1,20,75
208901,.,-1,36.4
208902,1150,20.7,50
208903,.,18,62.5
209901,993,23.8,64.4
209902,-1,.,40
210901,1110,18.6,82.1
210902,.,21.7,44.7
210903,-1,19.2,81.1
210904,.,-1,11.5
210905,-1,17.2,68.8
210906,.,.,.
211901,.,.,.
211902,-1,19.1,91.4
212801,.,.,.
212803,.,.,0
212901,992,20.3,47.3
212902,946,21,50.9
212903,985,20.3,59.5
212904,942,18.6,68.4
212905,1003,18.9,58.6
212906,1038,22.7,50.3
212909,899,18.8,67.5
212910,941,17.6,65.9
213801,942,-1,11.9
213901,952,19.8,87.1
214901,921,16.4,64.8
214902,-1,18.8,-2
214903,.,16.8,67
215901,964,22.9,51.1
216901,.,19.7,55.6
217901,.,21.1,53.3
218901,-1,18.8,81
219901,.,20.4,-2
219903,-1,18.3,48
219905,.,17,60
220801,959,-1,76.9
220802,.,.,.
220804,-1,.,2.5
220808,.,.,-1
220809,1110,23.4,-2
220810,1179,25.9,-2
220811,.,.,.
220812,-1,-1,11.8
220813,-1,.,-2
220814,.,.,.
220815,.,.,.
220816,.,.,.
220901,1010,21.4,64.9
220902,1019,21.7,56.7
220904,858,16.1,64.6
220905,903,17.9,59.3
220906,1090,24.1,82.6
220907,1050,22.9,70.4
220908,989,21.1,64.4
220910,974,16.3,53.6
220912,956,20.5,65.5
220914,979,20.5,59.2
220915,1018,22.6,50.9
220916,1026,22.1,58
220917,867,18.7,54.9
220918,990,21.9,49.7
220919,1161,25.7,-2
220920,970,20.8,40.3
221801,913,17.3,10.1
221901,998,21,63.3
221904,-1,21.6,59.3
221905,954,-1,75
221911,960,22,82.3
221912,1036,22.7,75.6
222901,-1,21.2,69.2
223901,978,18.7,55.2
223902,-1,19.2,68.8
223904,.,19.2,62.5
224901,-1,18.8,81.3
224902,-1,19.7,77.8
225902,979,19,31.8
225905,.,.,.
225906,1039,21.7,37.5
225907,.,.,.
226801,.,.,0
226901,-1,20.5,57.1
226903,1052,20.8,55.6
226905,-1,19.9,100
226906,1160,22.1,90.5
226907,954,19.9,66.7
226908,-1,20.9,76.9
227801,937,-1,12.8
227803,.,.,.
227804,1034,-1,95
227805,.,.,.
227806,.,.,0
227814,1199,27.6,100
227816,993,-1,-2
227817,.,.,.
227818,.,.,0
227819,.,.,.
227820,.,.,.
227821,.,.,.
227824,.,.,.
227901,1027,20.9,71.7
227904,997,21.4,71
227907,862,16.4,61.1
227909,1215,26.9,-2
227910,889,18.1,44
227912,1009,20.8,74.6
227913,1136,25.1,92.3
228901,912,21,60.5
228903,989,19.2,49.1
228904,-1,.,50
228905,934,-1,-2
229901,934,19.4,57.5
229903,921,24.4,61.2
229904,966,20.1,56.2
229905,-1,17.8,58.3
229906,868,15,76.5
