,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
015917,353,297,264,231,72,758,3719,4596,325,664,3581,32.7,31.3,36.8,36916,9.4,4.9,SOUTHSIDE ISD,015917,015,94.1
016901,57,53,47,47,2,505,137,649,61,95,162,14.9,13.9,15.5,38474,14.1,6.8,JOHNSON CITY ISD,016901,016,96.4
016902,67,77,64,56,19,658,226,906,157,169,354,13,12.9,13.6,35409,11.8,6.7,BLANCO ISD,016902,016,95.9
017901,10,16,9,12,0,114,29,149,12,10,53,7.6,9,11.3,43408,15.1,9.1,BORDEN COUNTY ISD,017901,017,96.2
018901,98,89,75,68,43,909,233,1185,97,154,476,17.4,15.1,19.2,34430,11.2,7.4,CLIFTON ISD,018901,018,96.7
018902,40,42,44,27,39,374,137,554,58,73,269,16.3,14.1,17.2,36035,14.3,6.1,MERIDIAN ISD,018902,018,96.6
018903,10,14,9,9,4,83,58,145,3,41,108,9.6,10.2,9.5,36158,16.3,5.9,MORGAN ISD,018903,018,94.9
018904,35,45,37,20,21,435,65,523,39,86,166,15.6,10.4,15,38098,8.3,4.6,VALLEY MILLS ISD,018904,018,96.2
018905,18,11,14,11,3,138,80,221,9,52,131,16,13.4,16.5,36449,16,9.8,WALNUT SPRINGS ISD,018905,018,95.1
018906,14,17,9,8,0,129,18,147,12,20,65,9.5,10.8,11,31100,7.4,5.3,IREDELL ISD,018906,018,95.8
018907,25,28,10,17,0,279,22,302,33,48,139,13.4,9.4,10.4,30670,7.5,3.8,KOPPERL ISD,018907,018,96
018908,12,13,11,8,0,107,14,121,4,25,69,7.9,8.2,9.8,30338,6.5,3.5,CRANFILLS GAP ISD,018908,018,95.1
019802,36,22,21,7,57,60,4,121,0,13,1,.,.,.,19667,2.7,0.3,EAGLE PROJECT (TEXARKANA),019802,019,89.7
019901,85,82,70,72,289,654,41,986,95,179,506,13.8,14.1,15.6,35915,13.9,9.5,DEKALB ISD,019901,019,96.3
019902,85,97,88,81,229,852,36,1121,48,210,587,13.5,13.9,13.1,35599,14.6,10.3,HOOKS ISD,019902,019,95.9
019903,42,34,35,33,32,421,9,463,21,81,163,16.7,15.1,18,35010,13.3,11.6,MAUD ISD,019903,019,97.2
019905,112,134,107,93,322,1069,18,1429,39,259,517,14.8,14.6,17.9,36025,14,9.3,NEW BOSTON ISD,019905,019,96.1
