,SAT_avg,ACT_avg,SAT/ACT_pct
136901,988,18.3,72.2
137901,948,18.7,58.7
137902,.,.,.
137903,930,19.6,78.9
137904,891,17.1,75
138901,.,.,.
138902,953,21.8,50
138903,911,17.8,80.8
138904,.,18.5,.
139905,.,20.9,70.7
139908,.,20.2,40
139909,1012,19.6,57.1
139911,972,19.8,51.3
139912,1047,19,35.7
140901,848,18.6,68.4
140904,910,19.3,56.7
140905,924,18,50
140906,.,.,9.1
140907,1092,23.6,65.2
140908,.,20.2,79.2
141801,.,.,.
141901,976,20.9,51.8
141902,.,21.4,83.3
142901,959,16.5,73.1
143901,934,20.2,56.3
143902,951,.,68.8
143903,1021,21.9,63.3
143904,.,.,.
143905,.,.,.
143906,.,.,.
144901,946,20.1,56.2
144902,931,.,61.2
144903,1013,.,54.5
145901,992,.,45
145902,912,.,71.9
145906,974,.,60
145907,.,17.4,30
145911,995,21.7,42.5
146901,881,17.8,46.9
146902,906,21.3,85.6
146903,.,.,.
146904,964,19.6,47.8
146905,833,.,75
146906,943,20.4,57
146907,980,18,46.4
147901,.,.,.
147902,871,19.7,40.7
147903,958,19,68.6
148901,.,18.6,.
148902,.,20.3,63.2
148903,.,.,66.7
148905,.,.,.
149901,984,20.3,65.8
149902,988,19.1,35.4
150901,967,21,62.7
152801,.,.,.
152802,.,.,.
152803,.,.,0
152804,.,.,.
152901,1032,20.9,56.9
152902,860,17.1,57.9
152903,969,20,56.6
152906,1055,19.7,56.9
152907,987,20.7,49.5
152908,991,19.3,55.2
152909,950,21.2,69
152910,974,21,45.8
153903,.,19.2,48.3
153904,1047,20.1,85.7
153905,879,19.9,64.3
153907,940,19.6,66.7
154901,928,20.9,63.9
154903,898,.,53.3
155901,.,20.2,.
156902,968,21.2,56.4
156905,.,25.2,71.4
157901,1034,20.1,66.7
158901,1011,20.3,57.7
158902,987,18.9,42.2
158904,.,.,.
158905,945,19.4,61.4
158906,963,20.3,39.3
159901,830,18.4,51.4
160901,.,19.9,63.5
160904,.,17.6,41.2
160905,.,18,61.5
161801,.,.,.
161802,.,.,.
161804,.,.,.
161901,1020,22.7,70.3
161903,1066,22.1,77.7
161906,889,17.5,31.6
161907,1042,22.2,62.8
161908,1018,18.2,61.9
161909,936,19.1,57.6
161910,1000,20.6,51.2
161912,1072,21,61.5
161914,936,18.1,38.1
161916,910,18.9,62.1
161918,986,23.4,69
161919,991,20.3,44.8
161920,1013,20.5,72
161921,1014,20.5,43.1
161922,1005,20.6,55.6
161923,1165,19,68.2
161924,.,.,.
161925,.,.,.
162904,.,17.5,85.7
163901,961,20.9,51
163902,988,19.3,82.4
163903,859,18.2,50
163904,1040,21.3,60.4
163908,1027,21,61.3
164901,1099,21.4,73.1
165801,.,.,.
165802,.,.,.
165803,.,.,.
165901,1050,21.8,50.6
165902,936,24.1,.
166901,937,20.1,53.8
166902,.,.,.
166903,989,20.8,70
166904,964,20.2,79.1
166905,925,21.4,73.5
166907,.,.,11.1
167901,1015,20.8,68.8
167902,.,.,36.4
167903,.,16.4,.
167904,.,.,.
168901,.,20,60.3
168902,.,.,27.3
168903,.,22.3,53.3
169901,1005,21.3,65
169902,1035,19.6,69.6
169906,.,.,.
169908,.,.,.
169909,.,.,50
169910,.,.,0
169911,966,20,47.2
170801,.,.,.
170902,1061,22.4,69.5
170903,966,20.3,66.4
170904,939,20.2,65.8
170906,936,21,62.7
170907,990,.,34.4
170908,965,20.5,51.1
171901,1000,20.3,44.1
171902,.,20.4,62.5
172902,964,19.4,54.6
172905,.,20.7,69.6
173901,976,20.9,75
174901,.,22.2,33.3
174902,.,20.4,70.4
174903,.,19.1,71.9
174904,1014,20.1,64.5
174906,1022,20.1,63.2
174908,963,18.8,42.4
174909,.,.,50
174910,.,.,.
174911,.,18.8,83.3
175902,1074,19.4,64
175903,935,21.3,56.2
175904,861,.,55
175905,.,18.9,86.4
175907,1064,21.3,61.5
175910,.,20.1,65.2
175911,.,.,.
176901,729,17,81.5
176902,920,18.3,51.4
176903,966,20.8,60.5
177901,1049,20.4,67.9
177902,1079,20.5,55.3
177903,.,18.5,61.1
177905,1059,20.5,.
178801,.,.,.
178802,.,.,.
178803,.,.,.
178804,.,.,0
178805,.,.,.
178901,931,18.9,91.3
178902,984,19,64.5
178903,969,21,79.7
178904,989,19.4,61.2
178905,.,.,.
178906,.,.,.
178908,1119,21.4,80.8
178909,820,16.5,72.7
178912,983,20.5,61.6
178913,888,17.8,98.1
178914,1026,20.9,67.6
178915,897,18.5,50.6
179901,.,20,88.3
180901,.,20.1,75
180902,.,20.5,61.5
180903,.,17.7,87.5
180904,.,.,.
181901,965,20.4,61.1
181905,976,20.4,69.7
181906,928,20.7,55.9
181907,966,21.3,58.1
181908,969,20.8,62.6
182901,969,19.1,88.9
182902,938,.,81.3
182903,963,20.7,40
182904,1003,19.8,48.1
182905,.,19.9,61.5
182906,.,.,.
183901,.,19,65.4
183902,1083,21.6,52.8
183904,.,17.2,81.8
184901,963,.,50
184902,951,20.2,42.1
184903,1061,21.5,55.6
184904,962,.,43.9
184907,1022,22.8,74.7
184908,1051,23.4,47.1
184909,919,.,64
184911,.,.,.
185901,.,17.8,65.4
185902,.,18.9,88.5
185903,.,19.9,72.4
185904,.,19.9,.
186901,.,18.5,55.6
186902,937,19.8,33.3
186903,1110,21.4,71.4
187901,772,.,100
187903,.,.,31.3
187904,870,17.8,54.9
187906,.,17.4,61.1
187907,924,18.6,66.7
187910,.,.,.
188901,1027,20.8,48.7
188902,1056,20.4,43
