,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
071909,1298,18.5,61.5,80,65,93,071909
072801,1371,17.6,17.8,67,58,86,072801
072802,-1,16.1,22,68,50,77,072802
072901,.,.,.,.,.,.,072901
072902,1422,20.6,48.4,76,70,88,072902
072903,1449,22.3,77.7,88,79,95,072903
072904,.,.,.,-1,.,.,072904
072908,1443,21.4,83.3,100,82,100,072908
072909,1266,17.4,70.6,94,86,94,072909
072910,.,.,.,.,.,.,072910
073901,.,19.2,41.9,80,65,96,073901
073903,1155,18,47.4,63,46,85,073903
073904,.,.,.,100,.,.,073904
073905,1336,19.8,54.1,92,60,89,073905
074903,1371,19.3,45.2,73,65,90,074903
074904,.,22.8,44.4,94,82,100,074904
074905,1508,-1,31.8,83,76,81,074905
074907,-1,21.9,62.5,77,84,100,074907
074909,1530,22,69.8,90,76,92,074909
074911,1299,20,55,81,71,100,074911
074912,1420,19.3,65.7,93,69,97,074912
074917,1402,19.8,68.3,93,70,100,074917
075901,1479,20.9,64.6,91,90,88,075901
075902,1473,21.6,63,86,76,93,075902
075903,1430,18.5,60.9,69,63,90,075903
075906,1428,-1,80,83,100,100,075906
075908,1558,22,66.7,95,92,94,075908
076903,-1,21.9,65,100,100,94,076903
076904,-1,21.1,54.5,78,43,94,076904
077901,-1,19.8,71.7,87,60,89,077901
077902,1406,20.4,64.5,76,64,97,077902
078901,1340,19,68.2,94,83,81,078901
079901,1476,21,64.6,81,74,95,079901
079906,1480,22.7,59.8,83,75,94,079906
079907,1524,22.3,77.1,85,75,96,079907
079910,1332,18.9,67.5,76,59,90,079910
080901,1270,21.2,45.7,90,77,96,080901
081902,1528,21.4,64.4,98,94,100,081902
081904,1582,19.8,58.1,75,68,89,081904
081905,1445,22.1,40.4,78,68,100,081905
081906,.,.,.,.,.,.,081906
082902,-1,15.3,49,57,39,82,082902
082903,1486,17.4,42.4,51,53,87,082903
083901,.,17.2,50,49,51,70,083901
083902,.,20.1,61.5,-1,71,93,083902
083903,1412,23.1,37.6,82,69,92,083903
084801,.,.,.,89,.,.,084801
084802,.,.,.,89,80,92,084802
084804,.,.,.,.,.,.,084804
084805,.,.,0,73,58,75,084805
084901,1378,20.4,39.9,78,60,93,084901
084902,1412,20,55.1,69,57,87,084902
084903,1301,-1,68.2,47,55,50,084903
084904,1166,15.8,56.3,56,38,90,084904
084906,1339,18.4,42.9,72,57,88,084906
084908,1293,17.6,50,63,49,86,084908
084909,1464,21.7,38.8,81,59,91,084909
084910,1574,23.6,70.5,93,84,97,084910
084911,1641,25,82.5,96,86,98,084911
085902,-1,22.3,28.9,51,50,91,085902
085903,.,-1,40,77,59,82,085903
086024,.,.,.,.,.,.,086024
086901,1515,22.1,63.4,85,73,92,086901
086902,1484,21.9,75.5,89,78,100,086902
087901,-1,18.9,88.2,100,78,95,087901
088902,1399,20.7,66.2,76,64,91,088902
089901,1418,21.2,46,72,64,88,089901
089903,1441,18.3,51.1,82,67,86,089903
089905,1122,-1,61.9,42,41,100,089905
090902,.,15.5,90.9,91,93,100,090902
090903,-1,22,53.8,100,82,100,090903
090904,1393,19.7,42.5,83,62,93,090904
090905,.,.,.,.,.,.,090905
091901,1330,22.6,57.5,98,90,94,091901
091902,-1,20.1,77.8,92,77,88,091902
091903,1475,21.7,51.4,87,74,95,091903
091905,1519,22.1,61.5,95,82,91,091905
091906,1534,20.6,47.9,85,73,96,091906
091907,.,.,.,100,81,.,091907
091908,1464,22.7,63.5,98,91,96,091908
091909,1589,22,61.9,76,73,98,091909
091910,1438,22.5,53.1,98,81,98,091910
091913,1561,22.9,60.5,93,83,97,091913
091914,1306,17.7,47.5,88,75,90,091914
091917,1470,23.1,69.6,94,90,89,091917
091918,1432,23.1,46.7,78,65,90,091918
092801,-1,-1,4.2,65,68,91,092801
092901,1400,17.7,43.6,75,67,77,092901
092902,1477,20.1,43.1,80,70,95,092902
092903,1379,18.8,46.7,74,53,88,092903
092904,1493,22.9,42.2,80,72,94,092904
092906,1422,20.5,50,86,70,93,092906
092907,1516,23.2,62.1,85,77,99,092907
092908,1529,22.8,71.3,93,93,99,092908
093901,1289,19.4,57.7,95,78,97,093901
093903,1371,20.6,54.3,85,71,92,093903
093904,1327,18.7,45.5,69,57,91,093904
093905,-1,.,12.5,80,50,81,093905
094901,1341,19.5,54.4,70,56,93,094901
094902,1479,22.2,61.3,85,75,96,094902
094903,1448,21.6,83.6,80,71,95,094903
094904,1412,23.4,63.7,87,79,88,094904
095901,-1,19.5,75.6,83,75,92,095901
095902,-1,17.5,100,100,89,89,095902
095903,-1,17.5,93.8,66,76,97,095903
095904,-1,18.5,73.7,96,73,91,095904
095905,1409,19.8,46.7,78,64,92,095905
096904,-1,19,64.5,97,74,100,096904
096905,.,20.5,100,100,90,100,096905
097902,1464,21.1,62.3,86,66,95,097902
097903,1548,20.8,66.7,92,75,93,097903
098901,-1,20.8,73.5,90,82,76,098901
098903,.,.,.,100,.,.,098903
098904,.,19.3,76,87,73,98,098904
099902,-1,18,55,62,76,73,099902
099903,-1,19,76.7,94,63,82,099903
100903,1335,20.6,65.3,70,54,90,100903
100904,1339,19.5,65.1,81,68,91,100904
100905,1394,20.2,65.8,94,83,99,100905
100907,1452,21.5,69,85,74,98,100907
100908,1404,-1,61.1,79,64,79,100908
101801,.,.,.,.,.,.,101801
101802,.,.,.,100,.,.,101802
101803,.,.,.,.,.,.,101803
101804,1154,.,25.8,45,32,88,101804
101805,1104,14,80,66,37,95,101805
101806,1201,-1,36.8,93,70,96,101806
101807,.,.,.,.,.,.,101807
101809,1454,.,35,74,63,86,101809
101810,.,.,.,.,.,.,101810
101811,.,.,.,-1,-1,.,101811
101813,1485,20,-2,84,77,99,101813
101814,.,.,.,.,.,.,101814
101815,.,.,.,.,.,.,101815
101819,.,.,.,.,.,.,101819
101821,1260,14.6,29.4,48,43,83,101821
101822,.,.,0,62,35,-1,101822
101828,1131,.,-2,98,70,100,101828
101829,.,.,.,.,.,.,101829
101833,.,.,.,.,.,.,101833
101837,1421,-1,14.9,86,70,95,101837
101838,1267,-1,79.2,81,55,88,101838
101840,.,.,.,.,.,.,101840
101842,.,.,0,-1,63,100,101842
101845,1445,19.9,-2,90,84,99,101845
101846,1519,22.9,-2,90,80,95,101846
101847,.,.,0,.,.,.,101847
101848,.,.,.,.,.,.,101848
101849,.,.,.,.,.,.,101849
101850,.,.,.,.,.,.,101850
101853,.,.,.,.,.,.,101853
101854,1126,.,23.9,43,26,49,101854
101855,.,.,.,.,.,.,101855
101856,.,.,.,.,.,.,101856
101858,1624,23.4,94.9,92,81,98,101858
101859,.,.,.,.,.,.,101859
101861,.,.,.,.,.,.,101861
101862,.,.,.,94,83,96,101862
101863,.,.,.,.,.,.,101863
101864,.,.,.,.,.,.,101864
101865,.,.,0,42,38,68,101865
101866,.,.,.,.,.,.,101866
101867,.,.,.,.,.,.,101867
101868,.,.,.,39,29,53,101868
101869,.,.,.,.,.,.,101869
101902,1259,17.8,57.6,74,54,92,101902
101903,1283,18.1,62.9,78,60,93,101903
101905,1313,17.7,45.5,81,60,92,101905
101906,1452,19.4,48.7,83,62,90,101906
101907,1504,21.9,63.8,89,76,96,101907
101908,1464,22,47.6,87,77,94,101908
101910,1317,18.7,44.1,80,61,91,101910
101911,1354,19.4,46.7,82,63,92,101911
101912,1252,20.5,97.2,73,57,89,101912
101913,1473,22.3,68.4,84,76,97,101913
101914,1580,23.6,76.7,91,85,98,101914
101915,1489,22.4,65.9,82,73,95,101915
101916,1415,19.5,41.7,77,70,93,101916
101917,1325,19.8,48,83,63,92,101917
101919,1281,17.4,59.8,71,56,89,101919
101920,1516,23.4,80.6,82,68,92,101920
