,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
113903,1429,19.6,81,83,69,.,113903
113905,1477,20.5,79.3,80,78,.,113905
113906,1562,-1,35.3,71,77,.,113906
114901,-1,19.8,38.9,62,56,-1,114901
114902,1372,20.6,63.8,56,72,.,114902
114904,1590,22,64,87,89,.,114904
115901,1202,15.4,71.1,83,59,.,115901
115902,972,16,87.5,54,90,.,115902
115903,.,15.1,100,86,64,.,115903
116801,-1,-1,33.3,62,83,-1,116801
116901,1568,22,54.3,88,77,.,116901
116902,-1,20.3,88.9,89,91,.,116902
116903,1391,19.5,72.2,74,65,-1,116903
116905,1450,19.9,47.4,70,66,-1,116905
116906,1422,21.7,65.4,90,81,.,116906
116908,1399,18.7,41.8,79,73,-1,116908
116909,1572,21.6,69.2,87,74,-1,116909
116910,-1,18.5,50,76,85,.,116910
116915,1489,21.1,62.5,83,74,-1,116915
116916,1493,20.1,52.5,95,81,.,116916
117901,1506,21.5,49.2,76,73,-1,117901
117903,-1,20.1,60.9,62,74,.,117903
117904,-1,20.8,64.6,82,72,.,117904
117907,.,.,.,.,.,.,117907
118902,1426,21.9,71.9,93,72,.,118902
119901,-1,-1,36.4,77,75,.,119901
119902,1433,20.2,67.2,74,71,.,119902
119903,1381,22.2,44,75,66,.,119903
120901,1447,19.1,54.3,50,55,-1,120901
120902,1465,18.8,80,79,69,.,120902
120905,1428,20.8,74.4,93,85,85,120905
121902,1608,21.2,70.6,68,85,-1,121902
121903,1380,20.4,70.7,84,75,.,121903
121904,1388,18.7,47.8,81,67,.,121904
121905,-1,18.4,71.3,81,84,73,121905
121906,1253,17,58.1,85,81,.,121906
122901,1372,19.8,93.6,71,82,-1,122901
122902,1246,.,100,.,-1,.,122902
123803,1046,-1,55.6,82,27,.,123803
123805,.,.,.,.,.,.,123805
123807,1047,.,-2,85,61,.,123807
123905,1423,21.5,68.8,83,72,-1,123905
123907,1185,16.7,47.7,67,53,89,123907
123908,1410,21.7,69,81,73,-1,123908
123910,1294,17.8,68,72,63,93,123910
123913,1353,21,96.3,95,90,.,123913
123914,1485,20.9,69.3,83,77,-1,123914
124901,-1,16.1,96.2,79,49,-1,124901
125901,1536,18.5,76.3,69,58,-1,125901
125902,-1,16.9,47.5,89,54,-1,125902
125903,1429,19.3,69.7,72,78,-1,125903
125905,-1,17.3,52.9,43,41,.,125905
125906,.,.,.,.,.,.,125906
126901,1321,18.2,43.3,68,67,79,126901
126902,1462,21.2,58.3,85,78,60,126902
126903,1438,22.3,46.4,67,60,91,126903
126904,1512,22.5,58.9,86,76,.,126904
126905,1435,21.6,56.7,87,73,86,126905
126906,1300,-1,56.3,87,78,.,126906
126907,1376,20.1,69.2,80,51,.,126907
126908,1386,18.8,52.3,72,59,-1,126908
126911,1441,21.3,66.7,88,70,-1,126911
127901,1474,18.9,41.7,78,60,-1,127901
127903,-1,18.9,64.3,78,72,.,127903
127904,1288,18.8,70.6,87,86,.,127904
127905,.,19.1,66.7,78,67,.,127905
127906,-1,19.6,65.7,67,55,.,127906
128901,1436,18.6,43.1,71,77,.,128901
128902,-1,19.8,40,74,61,.,128902
128903,-1,18.3,73.3,59,50,.,128903
128904,1396,21.2,88.5,97,92,.,128904
129901,1469,21.1,59.7,84,78,-1,129901
129902,1394,20.1,68.2,86,83,-1,129902
129903,1382,20.1,47.3,79,64,-1,129903
129904,1378,21.8,54.5,68,59,-1,129904
129905,1392,20.7,51.9,86,81,-1,129905
129906,1358,19.5,47.8,65,55,.,129906
129910,1466,20.5,55.9,81,70,-1,129910
130801,-1,.,15.4,-1,-1,-1,130801
130901,1596,24.4,82.1,91,87,83,130901
130902,1424,20,73,77,67,.,130902
131001,.,.,.,.,.,.,131001
132902,-1,19.3,75,62,86,-1,132902
133901,1351,19.6,62.5,80,74,.,133901
133902,.,.,.,100,.,.,133902
133903,1500,22.5,57.7,80,76,-1,133903
133904,1433,21.3,67.9,55,60,-1,133904
133905,.,.,.,.,.,.,133905
134901,1292,19.9,75.4,76,79,-1,134901
135001,.,17,85.7,90,83,.,135001
136901,1324,21.2,59.4,81,96,-1,136901
137901,1323,18.3,63.8,53,56,59,137901
137902,.,.,.,100,.,.,137902
137903,1262,18,85.1,61,69,.,137903
137904,1441,19.3,100,97,69,.,137904
138902,-1,20.3,73.3,91,78,.,138902
138903,.,19.4,64,73,54,.,138903
138904,.,-1,-1,-1,-1,-1,138904
139905,-1,19.9,71,86,83,.,139905
139908,.,16.1,63.6,80,71,.,139908
139909,1589,20.8,62.9,74,67,-1,139909
139911,1454,22.1,55.7,75,67,-1,139911
139912,1340,21.4,59,77,67,-1,139912
140901,.,-1,50,50,50,-1,140901
140904,1566,18.9,54.4,85,69,-1,140904
140905,1362,19.3,75.5,69,63,.,140905
140907,.,20.4,77.8,70,51,.,140907
140908,-1,19.6,64,97,88,.,140908
141901,1459,21.5,57.5,90,70,-1,141901
141902,1454,21.6,41.2,78,63,.,141902
142901,1311,16.3,58.3,61,56,.,142901
143901,1408,20.2,73.3,95,84,-1,143901
143902,1489,21,56.7,93,93,-1,143902
143903,1448,22.7,74.5,100,91,.,143903
143904,.,.,.,-1,.,.,143904
143905,.,.,.,-1,.,.,143905
143906,.,.,.,.,.,.,143906
144901,1368,19.3,-2,81,73,.,144901
144902,1350,18.7,63.2,80,70,.,144902
144903,1160,.,71.4,63,50,.,144903
145901,1339,18.5,48.4,83,66,.,145901
145902,1286,17.3,50,51,58,.,145902
145906,1338,18.9,57.1,77,79,83,145906
145907,-1,-1,55.6,44,50,.,145907
145911,1399,19.5,57.1,83,73,.,145911
146901,1267,18.9,49.5,48,49,-1,146901
146902,1356,18.7,41.1,89,57,-1,146902
146903,.,.,.,100,.,.,146903
146904,1322,17.2,75,66,77,.,146904
146905,1333,.,51.7,82,72,-1,146905
146906,1421,19.1,75.2,76,68,-1,146906
146907,1491,21.2,34.1,83,67,.,146907
147901,-1,17.4,35,56,51,.,147901
147902,1241,19.3,53.3,64,59,-1,147902
147903,-1,17.6,67.9,67,51,-1,147903
148901,.,19.1,82.1,86,65,.,148901
148902,.,24.7,60,100,69,.,148902
148903,.,-1,16.7,50,33,.,148903
148905,.,18.3,-2,75,60,.,148905
149901,1500,19.9,73.1,74,65,-1,149901
149902,1344,19.9,62.7,95,68,79,149902
150901,1457,20,77.2,88,76,.,150901
152802,.,.,.,-1,.,.,152802
152803,-1,.,3.9,64,42,.,152803
152805,1231,.,-2,65,57,.,152805
152901,1450,21,63.7,71,68,73,152901
152902,1434,19.7,41.9,83,83,.,152902
152903,-1,19.4,62.3,77,76,-1,152903
152906,1477,22.3,66.5,92,75,83,152906
152907,1496,22.2,62.9,87,82,-1,152907
152908,1410,21.2,53.7,88,77,-1,152908
152909,1482,21.1,73.9,97,86,-1,152909
152910,1515,21.5,80.9,94,63,-1,152910
153903,.,18.6,94.7,73,68,.,153903
153904,1428,19.4,67.6,77,73,-1,153904
153905,-1,20.4,-2,100,91,.,153905
153907,-1,-1,80,100,-1,.,153907
154901,1387,19.8,60,86,71,.,154901
154903,1288,17.6,58.1,59,55,.,154903
155901,-1,19.9,52.2,72,56,.,155901
156902,1397,23.8,54.3,60,57,82,156902
156905,-1,20.7,75,95,100,.,156905
157901,1451,21,77.8,88,81,-1,157901
158901,1318,19.3,57.5,60,54,50,158901
158902,1376,19.2,74.4,62,70,.,158902
158904,.,.,.,.,.,.,158904
158905,1275,19.9,67,82,73,.,158905
158906,1333,20.4,65.7,79,64,.,158906
159901,1254,17.9,64.2,79,67,85,159901
160901,1548,20.5,64.6,71,63,-1,160901
160904,-1,16.6,57.1,60,64,.,160904
160905,.,17.2,62.5,100,88,.,160905
161801,.,.,.,.,.,.,161801
161802,1528,23.1,-2,94,84,.,161802
161807,1488,-1,98.1,93,80,.,161807
161901,1425,23.7,73.7,82,84,.,161901
161903,1538,22.9,66.9,87,85,-1,161903
161906,1264,16.9,42.2,64,54,-1,161906
161907,1529,23.6,69.7,93,82,.,161907
161908,1352,20.7,44.4,80,64,.,161908
161909,1415,19.5,39.4,84,63,.,161909
161910,1539,20.3,34.2,89,72,-1,161910
161912,1440,20.6,63.3,83,78,.,161912
161914,1310,17.6,40.7,56,45,-1,161914
161916,1398,21.3,43.1,84,76,.,161916
161918,1520,21.2,45,75,82,.,161918
161919,1432,21,55.6,80,80,.,161919
161920,1562,23.4,57.8,86,84,-1,161920
161921,1330,17.9,61.6,76,60,-1,161921
161922,1530,22.1,56.3,90,80,-1,161922
161923,1494,20.3,45.2,91,82,-1,161923
161924,.,.,.,.,.,.,161924
161925,.,.,.,100,79,.,161925
162904,1453,21.8,50,87,86,.,162904
163901,1379,18.5,58.3,73,61,-1,163901
163902,1541,23,54.5,77,65,.,163902
163903,1261,18.1,74.5,48,58,.,163903
163904,1581,22.3,62.1,78,61,-1,163904
163908,1468,20.6,69.5,84,82,-1,163908
164901,1416,19.7,65.2,81,73,.,164901
165802,.,.,.,100,-1,.,165802
165901,1471,21.8,42.6,72,63,50,165901
165902,1460,21,65.9,84,76,.,165902
166901,1429,18.3,75.3,76,80,.,166901
166902,.,.,.,.,.,.,166902
166903,1487,22,54.5,89,63,.,166903
166904,1371,19.1,53.3,78,59,.,166904
166905,1317,19.3,68.2,81,81,.,166905
166907,-1,-1,30,64,29,.,166907
167901,1400,19,70.2,74,74,.,167901
167902,.,-1,42.9,100,78,.,167902
167903,.,-1,16.7,83,-1,-1,167903
167904,-1,-1,-1,-1,-1,.,167904
168901,1620,20.4,58.6,72,48,-1,168901
168902,1146,-1,80,67,73,.,168902
168903,1332,18.5,-2,100,53,-1,168903
169901,1441,20.9,62.4,92,70,-1,169901
169902,1419,20.6,66.7,80,72,-1,169902
169906,1197,.,50,64,62,.,169906
169908,.,.,.,.,.,.,169908
169909,-1,23.4,55.6,86,80,.,169909
169910,-1,21.3,58.3,73,85,.,169910
169911,1447,-1,55,71,61,.,169911
170801,.,.,.,.,.,.,170801
170902,1550,22.9,75.3,85,79,58,170902
170903,1528,22.5,72.4,95,86,-1,170903
170904,1400,20,64.8,80,63,-1,170904
170906,1491,21.4,57.7,81,75,71,170906
170907,1360,18.6,43.3,72,69,88,170907
170908,1414,21.5,42.3,61,64,83,170908
171901,1609,20.3,36.1,75,55,100,171901
171902,-1,20.6,85.1,96,77,.,171902
172902,1368,18.5,61.7,76,54,.,172902
172905,1187,18.9,56.5,73,68,-1,172905
173901,-1,19.2,60,94,80,.,173901
174801,.,.,.,.,.,.,174801
174901,-1,19.7,40,67,64,-1,174901
174902,1465,20.1,59.5,90,81,.,174902
174903,-1,20.2,46.2,82,86,100,174903
174904,1489,20.6,63.4,69,59,66,174904
174906,-1,19.8,50,89,78,.,174906
174908,1501,21.4,68.9,89,90,-1,174908
174909,1633,20,82.1,83,88,.,174909
174910,.,.,.,.,.,.,174910
174911,1662,21.5,82.4,85,85,.,174911
175902,1487,21.2,75.6,77,62,-1,175902
175903,1324,18.4,58.3,76,62,-1,175903
175904,-1,20.1,59.4,78,65,.,175904
175905,1430,20.6,73.3,61,52,.,175905
175907,1302,17.8,-2,85,74,.,175907
175910,1396,21.7,64,91,82,.,175910
175911,1278,17.3,75.4,72,72,.,175911
176901,-1,21.9,57.9,73,69,.,176901
176902,1402,17.1,65.6,66,50,-1,176902
176903,1341,-1,37.8,76,67,.,176903
177901,-1,19,86.4,75,83,.,177901
177902,1548,20.2,68,80,62,.,177902
177903,1090,15.8,87.5,92,82,.,177903
177905,-1,21.4,66.7,100,94,.,177905
178801,.,.,0,-1,-1,.,178801
178804,1081,-1,22.5,74,58,.,178804
178807,.,.,.,.,.,.,178807
178808,.,.,.,100,.,.,178808
178901,.,17.6,78.9,63,71,.,178901
178902,1419,18.8,69.5,77,72,-1,178902
178903,1379,20.9,69.4,85,81,-1,178903
178904,1250,19,88.3,63,59,69,178904
178905,.,.,.,100,.,.,178905
178906,.,.,.,88,87,.,178906
178908,1538,20,65.2,98,88,.,178908
178909,1275,16.2,68.3,61,44,-1,178909
178912,1463,21.6,63.6,81,80,-1,178912
178913,-1,18.6,73.6,88,82,.,178913
178914,1511,21.6,83.7,87,82,100,178914
178915,1191,16.3,71.1,76,54,77,178915
179901,-1,19.9,63.9,84,63,-1,179901
180901,1236,16.9,-2,85,63,-1,180901
180902,.,20.5,64,96,91,.,180902
180903,.,21.3,75,92,71,.,180903
180904,.,.,.,.,.,.,180904
181901,1394,20.9,62.6,81,67,-1,181901
181905,1421,19.7,76.7,78,66,.,181905
181906,1205,17.4,63.2,46,38,-1,181906
181907,1355,21.4,51.5,72,64,-1,181907
181908,1456,21.7,58.8,78,70,-1,181908
182901,.,17.4,91.7,89,76,.,182901
182902,1244,18.3,50,76,65,.,182902
182903,1387,21.7,42.6,66,58,100,182903
182904,1395,20.4,79.3,76,74,.,182904
182905,.,16,55.6,86,55,-1,182905
182906,.,.,.,.,.,.,182906
183801,.,-1,14.8,81,82,.,183801
183901,-1,19,53.6,84,78,85,183901
183902,1535,20.6,51.7,81,68,.,183902
183904,.,19.9,29.2,69,79,69,183904
184801,-1,-1,11.9,53,50,.,184801
184901,1373,-1,30.3,80,68,.,184901
184902,1397,21.6,51.5,74,65,.,184902
184903,1494,22,56.2,78,74,80,184903
184904,1445,21.8,45.6,83,71,-1,184904
184907,1599,24.2,75.1,93,88,-1,184907
184908,1536,20.9,58.7,73,75,.,184908
184909,1490,22,60.3,98,92,-1,184909
184911,.,.,.,100,100,.,184911
185901,1192,18.2,63.6,68,66,.,185901
185902,-1,19.7,75.8,78,74,.,185902
185903,-1,18.9,69.4,82,64,-1,185903
185904,.,19.5,-2,88,59,.,185904
186901,-1,-1,57.1,-1,-1,.,186901
186902,1301,17.9,47.9,74,65,.,186902
186903,1293,18.8,45,73,85,.,186903
187901,1293,23.4,51.6,91,57,-1,187901
187903,1190,17.6,55.6,75,50,.,187903
187904,1246,16.4,81.7,67,65,.,187904
187906,.,18.8,75,73,67,.,187906
187907,1348,19.4,57.9,72,59,-1,187907
187910,1439,21.1,42.2,76,78,-1,187910
188801,-1,17.4,10.8,56,54,-1,188801
188901,1437,20.1,56.3,80,67,95,188901
188902,1489,20,48.5,76,67,.,188902
188903,1281,18.5,72.7,82,70,.,188903
188904,1510,21.8,74.1,92,80,-1,188904
189901,-1,16.8,69,75,59,.,189901
189902,1260,16.5,78.6,68,55,.,189902
190903,1539,20.1,65.6,81,79,.,190903
191901,1531,22,64.4,88,74,88,191901
192901,1360,19.4,62.2,54,49,.,192901
193801,.,.,0,41,60,-1,193801
193902,-1,17.4,64.3,81,84,.,193902
194902,-1,20.3,75.8,80,81,90,194902
194903,-1,21.1,64.3,86,79,.,194903
194904,.,17.5,63.8,66,61,-1,194904
194905,-1,20,63.6,89,53,.,194905
195901,1295,19.8,50.4,71,60,.,195901
195902,1223,-1,83.3,89,84,.,195902
196901,1366,18,75,69,93,.,196901
196902,1474,18.4,70.6,78,50,.,196902
196903,1228,16.7,72,75,82,-1,196903
197902,-1,22.4,92.9,100,89,-1,197902
198901,1296,18.7,86.4,80,80,.,198901
198902,.,15.2,33.3,93,-1,.,198902
198903,1504,21.3,67.6,91,74,.,198903
198905,1264,15.9,45,68,53,-1,198905
198906,1459,20,60.9,93,89,-1,198906
199901,1564,23.3,74.9,90,82,67,199901
199902,1396,21,56.2,78,72,-1,199902
200901,1526,19.2,91.9,68,64,-1,200901
200902,.,18.6,100,95,70,.,200902
200904,1428,20.3,80,85,59,-1,200904
200906,.,.,.,.,.,.,200906
201902,1353,20.1,55,74,71,.,201902
201903,.,16.9,87.5,100,67,.,201903
201904,.,18,35.7,73,58,.,201904
201907,-1,18.6,66.7,53,77,.,201907
201908,1376,19.5,63.9,87,75,78,201908
201910,1677,19.9,42.5,72,67,61,201910
201913,1217,17.4,53.2,68,67,-1,201913
201914,-1,18.3,78.6,80,56,-1,201914
202903,1585,21.4,57.9,79,70,-1,202903
202905,1416,20.4,48.7,59,70,.,202905
203901,-1,18.2,57.8,50,47,84,203901
203902,-1,16.8,71.8,78,74,.,203902
204901,1340,19.4,56.8,48,49,.,204901
204904,1335,18.4,54.4,65,44,-1,204904
205901,1381,18.1,51.4,61,57,-1,205901
205902,1483,20,73.7,92,70,-1,205902
205903,1392,20.3,48.6,78,74,-1,205903
205904,1316,17.2,65.7,72,55,-1,205904
205905,1391,18.4,70,54,60,-1,205905
205906,1343,19.8,62.1,68,56,-1,205906
205907,1287,16.4,56.5,69,57,.,205907
206901,-1,19.7,73.5,71,66,.,206901
206902,-1,17.3,85.7,75,100,.,206902
206903,1417,18.9,-2,71,67,.,206903
207901,.,20.3,52.6,94,74,.,207901
208901,.,-1,9.1,81,52,.,208901
208902,1479,20.1,35.3,68,60,-1,208902
208903,-1,18.2,68.8,94,100,-1,208903
209901,1408,21.7,64.5,86,78,-1,209901
209902,-1,.,60,60,56,.,209902
210901,1376,18.2,78.8,72,59,-1,210901
210902,-1,20.1,58.7,86,73,-1,210902
210903,-1,20.9,56.3,78,68,-1,210903
210904,1136,16.2,61.8,77,55,.,210904
210905,-1,19,63.2,84,59,70,210905
210906,.,.,.,.,.,.,210906
211901,.,.,0,.,.,.,211901
211902,-1,19,69.8,85,81,.,211902
212801,.,.,.,.,.,.,212801
212803,.,.,0,45,36,-1,212803
212804,.,.,.,.,.,.,212804
212901,1309,19.3,68.7,69,66,60,212901
212902,1420,21.3,55.9,87,78,.,212902
212903,1443,22.4,72.1,92,81,100,212903
212904,1529,19.8,67.6,91,81,-1,212904
212905,1415,18.9,60.3,78,64,40,212905
212906,1538,23.5,53.9,84,77,-1,212906
212909,1325,18.8,67.7,72,69,-1,212909
212910,1313,20,61.4,83,76,-1,212910
213801,1412,-1,15.2,55,44,.,213801
213901,1390,21.1,76.9,85,78,-1,213901
214901,1339,16.7,66.6,78,61,-1,214901
214902,-1,17.7,80,56,72,82,214902
214903,1415,17.6,71,73,52,-1,214903
215901,1360,21.4,61.8,85,66,-1,215901
216901,.,18.1,84.6,71,71,-1,216901
217901,-1,18.9,50,95,82,.,217901
218901,-1,19.1,78.3,88,58,.,218901
219901,-1,20.9,76.9,90,81,.,219901
219903,-1,18.8,47.4,86,62,-1,219903
219905,.,16.4,75,83,71,.,219905
220801,1346,-1,-1,81,76,.,220801
220802,.,.,.,100,.,.,220802
220804,1191,14.5,10.7,28,27,.,220804
220809,1632,22.3,-2,95,98,.,220809
220810,1736,26.1,-2,82,92,.,220810
220811,.,.,.,.,.,.,220811
220812,-1,-1,5.6,40,-1,-1,220812
220813,1572,24.5,-2,90,81,.,220813
220814,.,.,.,71,.,.,220814
220815,.,.,.,.,.,.,220815
220816,.,20.7,84.4,89,80,.,220816
220817,.,.,.,47,77,.,220817
220818,.,.,.,37,53,.,220818
220901,1448,20.9,65.4,75,67,68,220901
220902,1464,21.8,56.4,83,75,53,220902
220904,1253,16.8,75.1,84,60,67,220904
220905,1329,18.2,61.7,70,54,49,220905
220906,1621,24.3,86.5,88,88,63,220906
220907,1546,23.1,73.4,91,89,58,220907
220908,1439,20.9,74,80,79,56,220908
220910,1246,20.1,61.5,64,53,-1,220910
220912,1364,19.9,70.3,76,66,45,220912
220914,1427,20,69.5,75,71,.,220914
220915,1411,21.7,54.9,82,68,-1,220915
220916,1484,21.8,67.3,93,85,94,220916
220917,1377,19.8,47.6,72,71,-1,220917
220918,1460,21.2,58.5,83,74,89,220918
220919,1723,26.1,98.2,99,96,-1,220919
220920,1362,19.8,51.1,73,69,-1,220920
221801,1558,.,79.2,72,76,88,221801
221901,1411,20.7,53,78,68,100,221901
221904,1540,20.4,57.1,79,74,.,221904
221905,.,18.2,64.3,86,92,.,221905
221911,1525,22.6,69.6,89,82,.,221911
221912,1527,22.9,75.6,96,90,-1,221912
222901,.,20.1,87.5,-1,89,.,222901
223901,1375,18.4,54.7,51,55,64,223901
223902,-1,19.4,83.3,90,67,.,223902
223904,-1,20.3,88.9,88,100,.,223904
224901,.,20,83.3,85,80,.,224901
224902,-1,19.9,88.9,89,64,.,224902
225902,1499,19.5,29.8,69,55,-1,225902
225905,.,.,.,.,.,.,225905
225906,1495,19.3,66.7,89,82,89,225906
225907,.,.,.,100,.,.,225907
226801,.,.,0,90,74,.,226801
226901,-1,20,75,90,73,.,226901
226903,1484,20.5,57,77,65,82,226903
226905,-1,21.9,70.6,94,82,.,226905
226906,1592,22.9,81,99,92,.,226906
226907,1296,20.7,85.5,80,71,-1,226907
226908,.,19.1,50,80,80,.,226908
227801,1311,.,29,-1,-1,.,227801
227803,.,.,.,94,69,.,227803
227804,1570,22.9,96,96,87,.,227804
227805,.,.,.,100,71,.,227805
227806,.,.,0,22,35,-1,227806
227814,1706,-1,-2,97,93,-1,227814
227816,1452,20,-2,95,84,.,227816
227817,.,.,.,-1,.,.,227817
227818,1160,.,8.4,12,23,.,227818
227819,.,.,.,.,.,.,227819
227820,1338,17.4,-2,92,75,.,227820
227821,.,.,.,.,.,.,227821
227824,.,.,.,74,52,.,227824
227825,.,.,.,.,.,.,227825
227901,1496,21.4,72.3,80,70,84,227901
227904,1419,20.3,72.8,81,76,88,227904
227907,1251,16.9,78.9,70,56,-1,227907
227909,1763,26.6,-2,99,97,83,227909
227910,1286,17.4,52.4,79,52,-1,227910
227912,1503,21.2,88.2,87,87,.,227912
227913,1653,25.2,87.5,95,91,-1,227913
228901,1429,20.9,69.6,76,54,-1,228901
228903,1328,17.2,45.1,78,63,-1,228903
228904,1484,-1,85.7,50,38,.,228904
228905,1277,-1,81.3,76,72,.,228905
229901,1381,22.6,53.5,69,63,.,229901
229903,1385,20.5,72.9,84,73,-1,229903
229904,1461,23.3,51.4,77,46,.,229904
229905,.,17,92.3,69,54,.,229905
229906,-1,20.4,60,67,64,.,229906
230901,1329,18.3,69.8,95,71,-1,230901
230902,1474,19.3,67.2,82,75,-1,230902
230903,1360,18.6,43.5,93,73,84,230903
230904,-1,19,78.8,77,78,-1,230904
230905,1516,21.4,76.7,74,71,.,230905
230906,1348,20,83.6,84,77,-1,230906
230908,1613,21.5,52.4,74,67,.,230908
231901,.,17.4,-2,65,52,-1,231901
231902,.,19.5,91.7,89,70,.,231902
232901,-1,.,50,100,90,.,232901
232902,1297,18.2,80.6,62,56,-1,232902
232903,1284,16.3,56.4,53,50,83,232903
232904,1633,24.9,83.3,89,93,94,232904
233901,1350,18.6,52.4,78,65,-1,233901
233903,1402,-1,100,92,92,.,233903
234801,.,.,0,-1,56,-1,234801
234902,1509,21.9,54.5,90,78,-1,234902
234903,1503,21.3,51.5,80,61,91,234903
234904,1374,20.4,45.3,78,75,83,234904
234905,1439,22.3,78.6,100,92,-1,234905
234906,1487,21.9,54.7,86,70,75,234906
234907,1527,21.9,50,67,61,-1,234907
234909,.,19.6,50,76,82,71,234909
235901,1294,.,23.5,78,62,-1,235901
235902,1400,20.5,38.5,58,60,90,235902
235904,.,.,.,.,.,.,235904
236801,.,.,-1,-1,-1,.,236801
236901,1489,19.6,77.5,88,83,.,236901
236902,1376,18.2,62.2,72,61,-1,236902
237902,1224,17.1,50.9,61,53,76,237902
237904,1411,19.1,58.2,80,76,-1,237904
237905,1426,18.2,58.3,76,50,.,237905
238902,1484,20.5,41,60,49,36,238902
238904,.,16.8,100,64,-1,.,238904
239901,1493,19.3,59.3,80,69,60,239901
239903,1275,17.5,53.6,89,50,.,239903
240801,1090,16.1,9.8,45,29,.,240801
240901,1224,16.9,54.9,58,43,80,240901
240903,1328,18.1,56.9,75,67,89,240903
240904,1356,19.8,60,84,63,.,240904
241901,1353,19.4,43.1,55,63,.,241901
241902,1473,20.9,44.1,83,74,.,241902
241903,1342,20.3,49.8,67,70,75,241903
241904,1368,19,54.3,72,62,.,241904
241906,1442,18,58.5,91,85,.,241906
242902,.,21.4,66.7,76,60,84,242902
242903,-1,18.9,-2,81,64,-1,242903
242905,.,-1,-1,64,58,.,242905
242906,.,-1,50,89,100,.,242906
243801,1430,-1,71.4,73,67,60,243801
243901,1520,21,63.1,85,74,.,243901
243902,.,19.7,50,79,68,.,243902
243903,1464,21,53.4,85,72,-1,243903
243905,1456,20.7,64.8,78,67,79,243905
243906,1418,20.3,63.5,77,80,.,243906
244901,.,-1,37.5,88,71,.,244901
244903,1432,19.9,63,84,66,.,244903
244905,-1,18.9,-2,94,84,.,244905
245901,1216,.,73.9,85,63,.,245901
245902,1448,17.6,78.8,71,54,-1,245902
245903,1149,15.7,52.4,72,59,-1,245903
245904,1313,19.4,58.8,85,83,.,245904
246801,.,.,.,98,96,.,246801
246902,1459,20.7,69.6,69,68,.,246902
246904,1554,23,66.7,88,76,80,246904
246905,1432,19.4,54.2,85,64,.,246905
246906,1395,19.5,64.3,71,68,-1,246906
246907,1452,20.2,67.9,79,76,-1,246907
246908,1507,22.5,69.4,89,85,-1,246908
246909,1599,24,79.4,89,84,94,246909
246911,1391,18.4,56.3,72,70,-1,246911
246912,1375,18.2,68.4,81,68,.,246912
246913,1546,23.2,76.9,90,88,67,246913
246914,.,.,.,-1,.,.,246914
247901,1389,20.2,68.5,83,73,83,247901
247903,1463,22.2,67.8,76,76,-1,247903
247904,1467,23.6,72.7,84,59,.,247904
247906,1412,17.4,63.6,78,54,-1,247906
248901,-1,19.2,59.2,65,61,-1,248901
248902,-1,20.5,60.9,68,63,-1,248902
249901,1443,21.9,78.8,80,80,.,249901
249902,1411,20.4,55.7,68,59,.,249902
249903,1394,21.1,40.7,81,61,-1,249903
249904,1378,20.4,52.8,92,77,.,249904
249905,1466,21.1,67.8,81,76,-1,249905
249906,1490,22,76,78,81,-1,249906
249908,1391,20.9,94.1,83,90,.,249908
250902,1489,21.6,56.4,72,61,-1,250902
250903,1407,20.5,70.2,69,70,-1,250903
250904,1300,19,68.3,80,68,-1,250904
250905,.,16.4,71.4,76,79,.,250905
250906,1436,20.6,67.5,77,70,83,250906
250907,1638,21.8,76.5,97,86,-1,250907
251901,1548,19.8,47.9,80,80,-1,251901
251902,-1,21.6,63.9,68,75,.,251902
252901,1531,21.2,44.1,90,68,-1,252901
252902,1536,24.8,52.9,100,100,-1,252902
252903,-1,18,52.5,81,82,-1,252903
253901,-1,17.6,63.3,66,50,-1,253901
254901,1478,18.3,64.4,56,49,-1,254901
254902,-1,15.1,63.2,64,48,.,254902
