,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
011904101,1101319,,6736.0,1115.0,264567.0,312.0,,,,,,,,,4434.0,96079.0,,,
011904102,1210169,,1005.0,,115921.0,13027.0,,,,,,,,,1647.0,137831.0,,,
011904999,117615,281420.0,,,45506.0,,230850.0,,,,,,,735000.0,445004.0,89060.0,112063.0,44072.0,
011905001,173363,33567.0,13003.0,,29247.0,23983.0,,,,,,,,,50994.0,,,7.0,
011905101,548071,,11096.0,4701.0,38679.0,48951.0,,,,,,,,,29022.0,,,412.0,
012901001,527541,88154.0,1500.0,,55162.0,600.0,,,,,,,,,88682.0,123273.0,10898.0,13368.0,
012901042,622675,15657.0,2014.0,,49593.0,1263.0,,,,,,,,,,3169.0,,3292.0,
012901101,657976,,,,57610.0,,,,,,,,,,,49908.0,10898.0,3174.0,
013901001,2207404,401825.0,,389232.0,424929.0,93017.0,,,,,,,,,415097.0,359100.0,,7593.0,
013901041,2030252,61799.0,117911.0,279167.0,588906.0,12100.0,,,,,,,,,249698.0,173781.0,,4117.0,
013901101,1650486,,27266.0,350268.0,206461.0,4900.0,,,,,,,,,73874.0,78055.0,,8424.0,
013901102,1665829,,27266.0,336600.0,223265.0,3375.0,,,,,,,,,113707.0,113550.0,,6193.0,
013901104,1413578,,,397709.0,270254.0,2375.0,,,,,,,,,36555.0,87336.0,,8262.0,
013901105,943862,,,264705.0,184570.0,2800.0,,,,,,,,,56209.0,101898.0,,2773.0,
013901999,76256,,,5250.0,83221.0,,557650.0,573.0,,,,,,1030000.0,495268.0,206614.0,49328.0,4241.0,
013902101,521244,3770.0,,,69268.0,,,,,,,,,,70581.0,63156.0,6693.0,2500.0,1187.0
013903001,880067,163726.0,,4120.0,158109.0,,,,,,,,,,15098.0,,,1245.0,
013903101,700104,,,50034.0,56187.0,,,,,,,,,,,,,3030.0,
013905001,738125,235411.0,22353.0,8000.0,153877.0,,,,,,,,,,1913.0,,,,
